province,year,cld,wet,vap,tmx,tmp,tmn,pre,pet,dtr,aet,def,PDSI,q,soil,srad,vpd,ws
Bukidnon,2025,76.62901119941407,211.3068284,25.33234110945472,29.635986768359373,24.62633191699219,19.669587462109376,239.3761518569336,2.947949596516536,9.96640020625,100.23960569412928,4.2606764928193375,3.9486790123456763,181.89047367094932,62.65840513983366,192.49800394855424,0.7566865042595157,0.9593302320114848
Apayao,2025,68.79590678242188,142.11799648666667,26.65756335936137,29.42590582148438,25.66983035214844,21.964981068750003,211.54268105371088,3.313624223567622,7.460924972734375,98.3031198830408,6.638997076023386,0.40076461988304146,149.5743011695901,275.80058187134466,189.4264321053483,0.6143268368942479,2.0088040300201904
Agusan del Sur,2025,74.29314419101563,211.28499509333332,30.382435178185435,32.254991614843746,27.80887410136719,23.411081332617183,269.48676172167967,3.2105579538589564,8.843910382226563,106.15885889745753,1.1603299057412169,3.427672807769206,229.1451956583828,55.563103399028805,191.77633474054093,0.8791606050764689,0.9586574935900788
Abra,2025,65.75873577109377,131.10266387333334,25.60718356674979,28.711754210156247,25.004953953515624,21.34523504511719,202.89181163427736,3.300406263231544,7.366519275039064,98.89268900343619,11.342932416952994,1.195424684994273,150.741406071019,301.4095704467349,199.3591344459765,0.6938079320616255,2.020113135767142
Kalinga,2025,70.02687091601564,161.45999658,24.309915983859145,27.64349788457032,23.596299468359373,19.600792366210936,218.2237505585937,3.002442455728483,8.042705528359374,95.3795243531202,7.778637747336361,0.8997290715372905,139.81894216133898,222.1621080669705,192.25668253301973,0.6322928163625645,1.65376072671968
Mountain Province,2025,61.14422773515625,128.32866325333333,29.67360112820549,32.20614417929688,28.324027950195312,24.49110923867188,177.29072509765624,3.803206661409444,7.715035930625,93.40590058479528,6.223461988304086,1.1760467836257296,145.241742690058,206.40332163742647,191.092746534916,0.54771889478731,1.8952350834093556
Quirino,2025,72.27351132148439,202.96199575333333,27.289293093340422,29.425683253515626,25.31923966171875,21.26030737695313,273.3070534760742,3.020770760419544,8.1653759465625,100.23864864864836,6.297650150150135,1.1576670420420412,128.1857957957954,91.28559309309298,191.91696380890124,0.6177268537813912,2.0242993174028774
Ifugao,2025,69.33707739648437,165.16732962666669,26.49931259488388,29.43552787363281,25.243994910742188,21.1091619171875,205.9141860053711,3.1520912620122368,8.326365656445313,95.04720486111108,6.602734374999988,1.0152751736111105,126.02290798611075,152.80666666666613,191.358504842122,0.6035329883009934,1.5522457186380991
Benguet,2025,72.76675698144531,165.78266395999998,21.900343017906277,25.39419843828125,21.664549460546876,17.982409938085937,218.5191045625,2.7660748391134926,7.411788620195312,88.46372495446262,13.055887978142039,1.1266935336976307,110.60477686703074,210.91701275045486,195.20774119392703,0.5431610072448271,2.3164600992671733
Nueva Vizcaya,2025,70.63282317480468,171.41332946666668,25.17057852493644,28.25961780957031,24.26052314140625,20.314766125,214.6513795571289,3.026803682205324,7.944851794570312,94.87548344017087,9.467120726495716,0.9914230769230754,93.6631677350425,116.94248397435857,193.39749517196228,0.6138983228545536,1.6692640271309047
Nueva Ecija,2025,68.79200597460938,171.4106630866667,28.04479156799111,30.94719001113281,26.859497680273435,22.82482983183594,213.98572321484372,3.405445231204632,8.122360079296875,94.05207421707406,26.140471900471862,1.020437365937365,81.74357357357349,110.2497726297722,205.6970451953938,0.9319220085454928,1.4848508727295782
