province,year,cld,wet,vap,tmx,tmp,tmn,pre,pet,dtr,aet,def,PDSI,q,soil,srad,vpd,ws
Bukidnon,2025,79.36896786445313,211.3068284,25.283926662931076,28.961838208789064,24.091520515625,19.27415289179688,275.5340650649414,2.6178945605596438,9.687686216992187,100.23960569412928,4.2606764928193375,3.9486790123456763,181.89047367094932,62.65840513983366,185.64811228595653,0.7059978117946419,1.020044894086528
Apayao,2025,68.66808695820313,142.11799648666667,26.67483001304357,29.576244566601563,25.78648989804688,22.04799803652344,212.35804207666013,3.359476502180572,7.528246750078125,98.3031198830408,6.638997076023386,0.40076461988304146,149.5743011695901,275.80058187134466,189.7459816658952,0.6176740909343397,2.253977150518847
Agusan del Sur,2025,77.21115322421875,211.28499509333332,30.317304965000915,31.594163978125,27.22636982890625,22.906915683203124,302.7245043364257,2.8756805756662565,8.687248394921875,106.15885889745753,1.1603299057412169,3.427672807769206,229.1451956583828,55.563103399028805,184.48131215753307,0.8119442708258393,1.0069005513178926
Abra,2025,66.00850444785156,131.10266387333334,25.62418345719538,28.838750059765623,25.10009250332031,21.408485777539063,205.94955699560543,3.3308675684405165,7.430264392226563,98.89268900343619,11.342932416952994,1.195424684994273,150.741406071019,301.4095704467349,198.734712754082,0.6941245342694922,2.2944892897130647
Kalinga,2025,70.5506373955078,161.45999658,24.322412153637742,27.72088130742188,23.651402007421872,19.63362317675781,216.3122408540039,3.010341829897932,8.087258140664062,95.3795243531202,7.778637747336361,0.8997290715372905,139.81894216133898,222.1621080669705,190.94726633428925,0.6305906452632566,2.0483435228164817
Mountain Province,2025,61.735584546679696,128.32866325333333,29.68311228150796,32.29797462363281,28.39115136328125,24.533501206445315,181.40022521972656,3.811874130566941,7.7644744071875,93.40590058479528,6.223461988304086,1.1760467836257296,145.241742690058,206.40332163742647,189.61435450610736,0.5475661786549125,2.2895766475878228
Quirino,2025,73.50888912910158,202.96199575333333,27.293027565916425,29.452666896093756,25.328205726171877,21.25121313867188,276.4856759125976,2.993942230218298,8.201453827421876,100.23864864864836,6.297650150150135,1.1576670420420412,128.1857957957954,91.28559309309298,188.82851928985824,0.6153820601588708,2.5871990499925994
Ifugao,2025,70.08189551171876,165.16732962666669,26.508985375480734,29.518471599218746,25.3041786265625,21.146521536328123,212.6244399116211,3.153486262439108,8.371949762890626,95.04720486111108,6.602734374999988,1.0152751736111105,126.02290798611075,152.80666666666613,189.496459554036,0.6033748438075486,1.9853975836435929
Benguet,2025,73.49350258691406,165.78266395999998,21.91027909898845,25.47851850664063,21.73367482675781,18.036331446875,222.8101156098633,2.761701181889569,7.442187179765625,88.46372495446262,13.055887978142039,1.1266935336976307,110.60477686703074,210.91701275045486,193.3908771802552,0.5438159944861267,2.708480277108361
Nueva Vizcaya,2025,71.62440154394531,171.41332946666668,25.17810650907046,28.32603016308593,24.307724679492196,20.342741588867188,221.8352266030273,3.0142032308175306,7.983288684218749,94.87548344017087,9.467120726495716,0.9914230769230754,93.6631677350425,116.94248397435857,190.91854924911075,0.6145750086855746,2.177404829514328
Nueva Ecija,2025,69.79284825976562,171.4106630866667,28.043694667923223,30.995624459375,26.892416991796875,22.842295041796877,202.78534937451172,3.3868716678689337,8.153329317578127,94.05207421707406,26.140471900471862,1.020437365937365,81.74357357357349,110.2497726297722,203.19493948250317,0.9395820447981004,2.055726517413416
Tarlac,2025,70.72390595000002,131.43666330666667,28.401938810555144,31.031542348046877,27.45174604570312,23.924447591601563,177.43842637109373,3.454760104706511,7.107094596445314,91.53887715179962,31.19946009389666,0.946857589984349,89.91723395931129,162.75825117370854,203.6345594923704,1.1184655229332048,1.9811412147020475
Laguna,2025,73.49265594882812,173.96266325333332,29.671567245325207,31.103897254492185,27.619694063281244,24.17215697207031,227.43142548242184,3.3090910393136816,6.931740362421875,90.56761666666658,17.3343444444444,2.073147777777776,107.97521111111107,110.53003333333308,180.4689561279293,0.7591954921990725,1.9854533437856
Cavite,2025,70.34683587656251,137.97133006,28.869504420919764,31.33552299082031,27.74171521777344,24.192932458789063,172.0960162290039,3.479839954490124,7.142590462031251,88.43991269841266,24.08252380952376,2.3604928571428556,106.76953968253936,183.77446031745995,179.12759279668856,0.8688457774037688,2.4108321443466854
Batangas,2025,73.85360961914061,161.96866317333334,29.813251333161475,31.102395349414063,27.596404648828127,24.1420838,193.5821207446289,3.2577326845803363,6.960311579414062,91.26426322043962,18.655831847890628,2.323504753416517,90.76475935828866,163.68773321449746,176.52461565803037,0.786711136145947,2.3549130246541456
Quezon,2025,75.03238128066405,206.70399567333334,30.392196391433604,30.422083509960935,27.304615688476567,24.23701762226563,279.056784597168,3.171787579955442,6.185065547695312,98.03064014202147,11.710802005012498,2.3917620091896388,123.14690789473654,102.01550334168724,180.79791894057004,0.7187079815699213,2.531663260266292
Camarines Norte,2025,75.98027269609376,221.64399632666667,30.57767927429362,30.39291795058594,27.37791778046875,24.406241755078124,333.11793011621097,3.1793875075523905,5.986676265507812,102.06574215436765,5.652875318066145,2.208882527565733,187.88527141645415,92.47779050042391,178.692410932157,0.6914288231692339,2.4142303514019465
Camarines Sur,2025,76.51773583476562,216.50349566666668,30.441833257364447,30.637686787109374,27.452336115429688,24.316563540234377,290.5443005571289,3.228882936611523,6.321123206875001,99.56922967696096,6.432951721689719,2.6500686900958446,180.02747248846248,87.2659052183173,176.30954287527936,0.6647960608154225,2.382982624797388
Albay,2025,76.96688982773436,219.50399494,29.976873211196075,30.39602192851563,27.064884643554688,23.78457820683594,300.70325881054686,3.174742807779217,6.611444111679688,100.21728844738749,4.08170713760117,2.868919058130976,219.62132082413493,85.87852465047825,174.06702561940517,0.6470746170044046,2.2615927067645023
Sorsogon,2025,76.21704479726563,212.59166168,31.3248082118818,31.171352088476564,27.85920170957031,24.597053482421877,309.92762977783207,3.240624035025542,6.574298866054686,100.65316968130888,3.814771748492674,3.108801464254951,215.09515073212702,88.50692506459944,175.08141327298534,0.6233108456733809,2.272281202326139
Rizal,2025,73.34777253632812,180.92199642,27.7823332441907,30.209346573242183,26.513524599804686,22.868538878125,242.23458936328123,3.254315424566224,7.3408075851171875,90.3382262382864,19.44375502008028,2.095789825970547,123.47052878179343,113.36528781793801,185.1483576370908,0.7756747218311542,2.0452384334855243
