province,year,pre,tmp,tmx,tmn,srad,ws,dtr,vpd,vap,pet,cld
Bukidnon,2015,196.94642639160156,24.400659179687523,29.344171142578148,19.457147216796898,226.45477294921875,2.013439893722534,9.88702392578125,0.33695455215556597,2.7194786576572256,5.971385159725941,9.418090820312496
Apayao,2015,167.4052734375,23.645043945312523,25.093041992187523,22.197045898437523,203.32269287109375,6.845835208892822,2.89599609375,0.4754218838694492,2.445510382792113,2.8496992089165096,18.670922851562498
Agusan del Sur,2015,195.63143920898438,28.436303710937523,33.39815673828127,23.474450683593773,224.8678741455078,1.5608619451522827,9.9237060546875,0.4696721697218899,3.407352478245191,6.508621947998676,10.052850341796871
Abra,2015,180.86355590820312,24.249902343750023,25.638391113281273,22.861413574218773,205.00662231445312,6.595165729522705,2.7769775390625,0.4932226809385311,2.5357465113015545,2.85470110953589,17.99735107421875
Kalinga,2015,201.6415252685547,25.846795654296898,27.291894531250023,24.401696777343773,204.57083129882812,6.4527788162231445,2.89019775390625,0.538059295858763,2.793057592646161,3.0164868290667575,18.171667480468745
Mountain Province,2015,216.41976928710938,19.406182861328148,20.817285156250023,17.995050048828148,205.6663055419922,6.350106239318848,2.822235107421875,0.36793305811890026,1.885764366033948,2.554561934404634,17.73347778320312
Quirino,2015,288.1222839355469,24.667535400390648,26.202386474609398,23.132684326171898,206.49085998535156,6.139683246612549,3.0697021484375,0.5086995656578811,2.596884532466451,3.0531461090730208,17.403656005859382
Ifugao,2015,227.7086181640625,21.823785400390648,23.246697998046898,20.400903320312523,206.251953125,6.255711555480957,2.845794677734375,0.430005897883211,2.1856608444610353,2.7396645652775926,17.49921875
Benguet,2015,232.8861083984375,21.241937255859398,22.657159423828148,19.826684570312523,207.3700408935547,6.185760974884033,2.830474853515625,0.42373629446770544,2.100469032021292,2.706752841816793,17.05198364257813
Nueva Vizcaya,2015,249.94879150390625,23.866143798828148,25.341577148437523,22.390710449218773,207.3497314453125,6.105795860290527,2.95086669921875,0.49310456590824553,2.4669229890597215,2.9491927646312863,17.060107421875003
Nueva Ecija,2015,246.7338409423828,27.184045410156273,28.641107177734398,25.726983642578148,209.46763610839844,5.792020320892334,2.91412353515625,0.612352039845081,2.9916661803134477,3.19647268966015,16.212945556640623
Tarlac,2015,185.07217407226562,25.889154052734398,27.336877441406273,24.441461181640648,210.27127075195312,5.682621955871582,2.895416259765625,0.589169280643549,2.7503074445431683,3.1063519364241987,15.89149169921875
Laguna,2015,280.21270751953125,26.527215576171898,28.018457031250023,25.036004638671898,210.8080596923828,5.37858247756958,2.982452392578125,0.5986966836198349,2.8689383041626777,3.2069043098533996,15.676776123046876
Cavite,2015,177.7925567626953,28.019403076171898,29.509698486328148,26.529107666015648,210.76129150390625,5.36088228225708,2.9805908203125,0.6641768016370624,3.1200260767212766,3.3130884958612983,15.695483398437505
