province,year,pre,tmp,tmx,tmn,srad,ws,dtr,vpd,vap,pet,cld
Bukidnon,2015,174.08697509765625,23.052972412109398,28.190423583984398,17.915521240234398,233.7577667236328,2.2192540168762207,10.27490234375,0.35936097001201434,2.4590906677213558,6.083032546868438,6.49689331054687
Apayao,2015,214.88812255859375,23.513299560546898,25.009851074218773,22.016748046875023,205.40098571777344,6.034759998321533,2.99310302734375,0.46763987181176236,2.4302119924880965,2.91739219747836,17.839605712890627
Agusan del Sur,2015,164.73890686035156,27.130212402343773,32.19002685546877,22.070397949218773,231.8583221435547,1.7159805297851562,10.11962890625,0.4867903595456798,3.105876959518883,6.585443565351804,7.2566711425781305
Abra,2015,220.70774841308594,24.099023437500023,25.522882080078148,22.675164794921898,207.6479034423828,5.853928089141846,2.84771728515625,0.48755733730039114,2.5141413902332643,2.917571214404374,16.940838623046872
Kalinga,2015,230.63153076171875,25.632684326171898,27.101403808593773,24.163934326171898,208.05642700195312,5.8151984214782715,2.937469482421875,0.5308302929064086,2.7583081855260065,3.0776984628351496,16.77742919921875
Mountain Province,2015,249.7296905517578,19.171197509765648,20.607446289062523,17.734918212890648,208.95120239257812,5.772228717803955,2.872528076171875,0.3622934211413298,1.8586790373374458,2.6018491410476865,16.419519042968755
Quirino,2015,284.63861083984375,24.291497802734398,25.832513427734398,22.750451660156273,211.1736602783203,5.793201446533203,3.082061767578125,0.4980884105725315,2.53843681381359,3.100961507636815,15.53053588867187
Ifugao,2015,256.8116760253906,21.553033447265648,22.997369384765648,20.108697509765648,209.71762084960938,5.7504658699035645,2.888671875,0.42285407379912027,2.149898931078066,2.787429050177264,16.11295166015625
Benguet,2015,272.7243347167969,20.955499267578148,22.386437988281273,19.524560546875023,210.4608917236328,5.7444658279418945,2.86187744140625,0.41650691440098253,2.063708534785707,2.7420276916888753,15.815643310546879
Nueva Vizcaya,2015,272.3356018066406,23.527062988281273,25.014947509765648,22.039208984375023,210.97653198242188,5.757102012634277,2.975738525390625,0.4833601527974386,2.4168954683791206,2.988874319614164,15.609387207031244
Nueva Ecija,2015,265.65203857421875,26.761193847656273,28.208001708984398,25.314355468750023,212.140625,5.746222496032715,2.893646240234375,0.5965887593681508,2.919104375735299,3.195545149340996,15.14375
Tarlac,2015,247.77175903320312,25.442071533203148,26.864739990234398,24.019433593750023,211.72129821777344,5.755500793457031,2.845306396484375,0.5704242075402916,2.6817317085532357,3.0688604325202253,15.311480712890624
Laguna,2015,267.6326904296875,26.048913574218773,27.502435302734398,24.595391845703148,216.9961700439453,5.655200004577637,2.90704345703125,0.6077725524105619,2.7633990125284744,3.2238753876797315,13.201531982421876
Cavite,2015,206.16983032226562,27.570489501953148,29.031091308593773,26.109918212890648,215.2585906982422,5.602530479431152,2.921173095703125,0.6681128630987867,3.0183094867446645,3.31706652886522,13.896563720703126
Batangas,2015,246.1659698486328,26.684167480468773,28.089532470703148,25.278771972656273,217.17161560058594,5.526371479034424,2.810760498046875,0.6514404290074968,2.8483681520878337,3.218563104984668,13.131353759765629
Quezon,2015,303.7098693847656,27.397912597656273,28.887567138671898,25.908258056640648,216.80857849121094,5.767368316650391,2.97930908203125,0.6301865742584947,3.0192354885889987,3.3611987915348283,13.276568603515626
Camarines Norte,2015,308.36956787109375,27.263970947265648,28.712854003906273,25.815057373046898,216.44699096679688,5.727128505706787,2.897796630859375,0.6232835802117568,2.997644862229501,3.299563881416103,13.421203613281252
Camarines Sur,2015,263.3215637207031,26.923455810546898,28.330072021484398,25.516839599609398,217.7930145263672,5.722234725952148,2.813232421875,0.6351455401891948,2.9142152639285923,3.2465618871519375,12.88279418945313
Albay,2015,263.5673828125,26.803735351562523,28.198052978515648,25.409417724609398,220.3414764404297,5.748514652252197,2.78863525390625,0.6518526634683544,2.8726403710954287,3.261406412193553,11.86340942382812
Sorsogon,2015,251.97068786621094,27.220605468750023,28.636315917968773,25.804895019531273,220.83453369140625,5.754729747772217,2.8314208984375,0.6757089307105034,2.9360359187148495,3.324467679058758,11.666186523437505
Rizal,2015,314.5202331542969,25.443475341796898,26.896112060546898,23.990838623046898,215.1897735595703,5.6909918785095215,2.9052734375,0.569838740430053,2.682588210969764,3.1519353668480896,13.924090576171878
Bulacan,2015,272.4393310546875,26.492730712890648,27.922509765625023,25.062951660156273,214.0416259765625,5.68960428237915,2.85955810546875,0.6038287524393792,2.856771809325138,3.1858237005386227,14.383349609374996
Pampanga,2015,220.96006774902344,26.986413574218773,28.404656982421898,25.568170166015648,212.48472595214844,5.725306034088135,2.83648681640625,0.6252467321907674,2.937252574748291,3.1849745507616802,15.006109619140629
Bataan,2015,231.4595947265625,25.952569580078148,27.401422119140648,24.503717041015648,213.77740478515625,5.602965831756592,2.897705078125,0.6106860877306561,2.7413404797410283,3.1639822183755526,14.4890380859375
Zambales,2015,266.53802490234375,23.928002929687523,25.357385253906273,22.498620605468773,211.36839294433594,5.775251388549805,2.8587646484375,0.5256830117272815,2.44536399965193,2.9634556055536354,15.452642822265627
Pangasinan,2015,235.5938720703125,27.254296875000023,28.737664794921898,25.770928955078148,210.7582550048828,5.820613384246826,2.96673583984375,0.6273112059273671,2.9915667787399065,3.2501381999203214,15.696697998046872
La Union,2015,255.4427490234375,26.151666259765648,27.576074218750023,24.727227783203148,210.36048889160156,5.760105609893799,2.848846435546875,0.5743296438831751,2.8173653662928064,3.101098879846353,15.855804443359379
Ilocos Sur,2015,248.30166625976562,27.228875732421898,28.613946533203148,25.843804931640648,208.52442932128906,5.8364033699035645,2.7701416015625,0.5950491617988842,3.0184455306216886,3.105564891234788,16.590228271484374
Ilocos Norte,2015,236.44894409179688,25.457727050781273,26.883264160156273,24.032189941406273,204.45066833496094,6.082736492156982,2.85107421875,0.528931926314144,2.726247737587643,2.967550173849244,18.21973266601562
Isabela,2015,267.204833984375,25.507073974609398,27.028100585937523,23.986016845703148,209.245361328125,5.773166179656982,3.042083740234375,0.5229079820769746,2.74181872015247,3.140811278384408,16.301855468750006
Occidental Mindoro,2015,193.1412811279297,27.411584472656273,28.776574707031273,26.046624755859398,220.15869140625,5.429300308227539,2.729949951171875,0.7141861242584148,2.9381553307350514,3.2681688305009113,11.936523437500002
Oriental Mindoro,2015,200.8744354248047,25.747247314453148,27.104760742187523,24.389733886718773,222.39596557617188,5.613173484802246,2.71502685546875,0.6379525974865802,2.6735892384122333,3.1711461334930564,11.041613769531256
Marinduque,2015,259.5531311035156,25.811791992187523,27.206018066406273,24.417596435546898,220.8804473876953,5.740767002105713,2.788421630859375,0.6125116558969367,2.7117106940198696,3.1965537048511847,11.64782104492188
Romblon,2015,244.59552001953125,26.476068115234398,27.853204345703148,25.098962402343773,223.78076171875,5.809281349182129,2.754241943359375,0.6553973534577688,2.80180873061929,3.2676416050516206,10.487695312500001
Masbate,2015,236.6024627685547,26.834832763671898,28.275231933593773,25.394464111328148,223.1959991455078,5.8736467361450195,2.880767822265625,0.6651954184933359,2.865742387604189,3.3601295702545406,10.721600341796877
