province,year,pre,tmp,tmx,tmn,srad,ws,dtr,vpd,vap,pet,cld
Bukidnon,2025,246.36893444970698,24.216541877929686,29.232056104296873,19.253968565625005,190.15974711261674,1.4309126447312113,9.978088438671874,0.7654376598676594,25.24818973659896,2.8339237127343124,77.56431393378908
Apayao,2025,255.36799843652346,25.881164580664063,29.68420660273438,22.129348744531256,187.06942221765294,2.0249010988068115,7.554858078203125,0.6232238657468067,26.686512151329083,3.3392666241724647,69.73871073750001
Agusan del Sur,2025,256.8902956572266,27.272619218554688,31.70588883164062,22.887704867773436,189.15507314386124,1.3204909467684849,8.81818406386719,0.8841094992618893,30.25641413358395,3.05344955978896,75.3416488296875
Abra,2025,272.1184504282227,25.205515476953124,28.941643126171872,21.516469175976567,195.55780387957026,2.1896516336919465,7.425174060195314,0.7046276487758826,25.6334189351587,3.2893830746718264,67.27926799765626
Kalinga,2025,256.29110285351555,23.732896148046873,27.789982259570316,19.72747083300781,188.49487223028532,1.9402034833725121,8.062511436562499,0.644647371476832,24.32494523861256,2.965815098188772,71.53159503710938
Mountain Province,2025,242.46107421875,28.480796749023437,32.36727699179688,24.643483506250004,186.41546992358784,2.2508564212999804,7.723794475546875,0.5572386810005003,29.68645162871014,3.7589485735020443,63.015138379687514
Quirino,2025,283.4749001557617,25.35952286484375,29.435418360937504,21.331108158203126,186.93412994659656,2.662881070179978,8.104310272734375,0.6321664783864771,27.28243016408701,2.919652337207322,74.26664486640625
Ifugao,2025,273.2421431586914,25.387122352148438,29.572399211523432,21.258545462109375,186.11534077962196,1.9930363718668591,8.313853449414063,0.6152365986279171,26.510857608145574,3.085683203285865,71.43434302148438
Benguet,2025,307.6781926972656,21.768614401953126,25.48196699296875,18.102771266210937,188.5841297437317,2.802127327965904,7.3791958467578125,0.5528842853544984,21.906996139844146,2.670892882633944,75.41620156152344
Nueva Vizcaya,2025,285.37882706689453,24.376367867968753,28.347935680664065,20.458168224609377,187.03549566024355,2.2874109234932094,7.889767566054687,0.6287120571137923,25.176709166052873,2.9169034095293487,73.17762297949218
Nueva Ecija,2025,250.34103937695312,26.934387816992185,30.96263190566406,22.959198728320313,197.6698540332844,2.344002236102381,8.00343307734375,0.9527539347039039,28.040013682630427,3.2238854406389836,72.00288243945313
Tarlac,2025,292.02789017724604,27.383643018359372,30.888332509179687,23.931481893359376,196.341760114929,2.3237891486620086,6.956850455820313,1.1200320811390183,28.38726391201177,3.2632174529990547,73.64102570097657
Laguna,2025,197.4145858828125,27.58940231523437,31.013781898046876,24.20171629824219,178.96255201415977,2.6803496603139196,6.812065679804688,0.7952991798664617,29.629608548407834,3.219115020658008,74.09521759433594
Cavite,2025,221.51385527929688,27.71928479785156,31.24653373300781,24.237012048632813,175.96488985479402,3.032092215147466,7.009521614375001,0.8996646317523849,28.834174713359857,3.354646599269949,71.61191705332031
Batangas,2025,186.2111017626953,27.547756577539065,30.997201257617192,24.149975645703122,175.32311724494446,3.088451938380952,6.847225641914062,0.8272428995419386,29.762784592801673,3.172970380872902,74.334208984375
Quezon,2025,223.45670830322268,27.254453945312505,30.311927259960942,24.246832075390625,179.8792238722107,3.1827485893220784,6.065094844570312,0.7550707473034697,30.345143362229805,3.087359006737689,75.3998593080078
Camarines Norte,2025,245.86752270654299,27.2929446359375,30.256043560937506,24.373209528515627,179.43098820266485,3.055426459266327,5.882834102421874,0.7286193154949331,30.522198478199844,3.1270188180144394,75.68484178789063
Camarines Sur,2025,201.99973573779297,27.385551447460937,30.52747865722656,24.293199282421874,178.6197113323106,3.154594029216333,6.234279334804688,0.7107004949517938,30.381775089245842,3.2106382203263713,75.59366845195312
Albay,2025,198.13050643017579,27.048984985351563,30.343110551562507,23.805665853320313,176.75052629079187,3.267783769691748,6.537445088242189,0.7085240850585162,29.912123218772642,3.172859046083757,75.89348955917968
Sorsogon,2025,199.83115913574218,27.85633000546875,31.13228348496094,24.63038478125,177.90196533597364,3.3488207187751136,6.5018989637109375,0.6899880976724496,31.257568334050962,3.2434506323583117,75.08882397207032
Rizal,2025,220.13475263232422,26.4934104640625,30.12026881445313,22.9173914171875,181.95212350623143,2.6029258114152123,7.2028772872656255,0.8001526487874969,27.754265914696354,3.1317693841382352,74.62626618867189
Bulacan,2025,223.89031048730467,28.321793383007808,31.812680623828125,24.875946615039062,185.9515197903728,2.705882353947756,6.936734138789063,0.9118132979284104,29.456969926344055,3.473295498599499,70.83149040839845
Pampanga,2025,244.12441283544922,28.240589909960935,32.221424609960934,24.308090509960937,189.2511453236995,2.66268302418296,7.913333379999999,1.1089025174781657,29.31028612677425,3.4764260524392925,69.89022478867187
Bataan,2025,293.94065184277343,27.270042454492188,30.882105812890625,23.708806792578127,183.83505815910527,3.3525220563318774,7.1732994303125,1.0261019769155597,28.271555367774425,3.4276019614462996,67.98784200605468
Zambales,2025,306.09619911376956,26.995806004296877,30.720972249804685,23.317279792968755,190.8145894828549,3.132682426213014,7.403692416835938,1.0669075801930483,28.11912339370017,3.320715127855187,70.71409601757813
Pangasinan,2025,270.4471714038086,27.72759030214844,31.473816037500004,24.03136616679687,201.46020115840875,2.611695440717735,7.442449320703124,1.152951756866175,28.97501309765665,3.462337653887055,69.25292210234376
La Union,2025,228.00093216943358,27.99660118203125,31.78369308671875,24.259111187890625,203.1786845306653,2.7383775826152523,7.524581468828126,1.0301000656769213,29.462220570158877,3.5055771986266695,68.38276133046874
Ilocos Sur,2025,213.64931939355472,28.118525760742187,31.645825765429688,24.64372595605469,201.5714790533152,2.5942151522681782,7.002099729375,0.8516585016331759,29.433336088718402,3.5561253312455,72.57135843105468
Ilocos Norte,2025,258.6038682719727,26.20539688828125,30.005023212890627,22.450773615429686,195.19379339245737,2.4002270276995628,7.554249107460937,0.7432830804494743,26.738155934035547,3.6357832205419838,61.22798811113282
Isabela,2025,212.97856670019533,26.780041633789065,31.139470984960944,22.469380893164065,190.71131918221013,2.3226156323726235,8.670090091796876,0.7380792969940811,28.89468031546172,3.248181891685851,70.55869907988281
Occidental Mindoro,2025,190.14022030908203,26.90481151132813,30.55719994648438,23.299887955078127,179.34856018570542,3.349587796838679,7.25731159140625,0.7780316467818366,28.580090104071058,3.26183622613643,72.35907051269533
Oriental Mindoro,2025,193.3252874477539,26.70232081640625,30.244217459179684,23.211531221875003,176.52819242931486,3.3343976097960115,7.032686227304687,0.7496221466813664,28.518489108227786,3.2509288679085757,73.98364471875
Marinduque,2025,162.6510968798828,27.065302013671875,30.127018832617185,24.05275169472656,177.3930947516941,3.2899228833516387,6.074267067890625,0.7867470186932283,29.795988640030398,3.1692529962892264,73.73582142285156
Romblon,2025,153.4563337026367,27.249655921484372,29.972652067187504,24.577490024023437,182.55363713493077,3.436969340352282,5.395161883164063,0.7666667535004388,29.84129422195801,3.2860773332239455,74.28953641210938
Masbate,2025,130.59306201513672,28.52158253125,31.829680915624998,25.26483997753906,180.94527772092084,3.4351593084774095,6.564840508085938,0.8125525196936209,31.89890222437672,3.371042159054807,74.6445798972656
Catanduanes,2025,215.57797463281256,26.817865590234373,30.342723718554687,23.342143644335938,177.95444391722268,3.399235921223953,7.000580354218751,0.6457321223910735,29.373913783420612,3.182607590431974,75.72470152773435
Batanes,2025,230.37024673828125,26.997370635351565,30.180493934179687,23.864247936523437,170.24069027855234,3.4409265239352234,6.31624583765625,0.5373573571376931,27.387553364281544,3.675199006204765,70.76859466953124
Northern Samar,2025,192.49675096240236,27.430137939453125,30.766098802929683,24.13834102421875,180.87596467776618,3.1906835270179723,6.627758328710938,0.5593561686640058,30.648545433321516,3.1551303416606618,74.90486272031251
Eastern Samar,2025,299.80510510400387,27.419140854882812,31.048085246679687,23.842706118359377,179.74779431090397,2.893863975082509,7.205379168320313,0.5850613258013109,30.553600280614546,3.108352424141538,74.66862878945311
Samar,2025,251.25824722021486,27.320478875390627,31.012684626171875,23.67806717636719,179.57078343853678,2.9118573010421533,7.334617679804687,0.5211438321922035,30.18217553211179,3.131982012629784,74.63656996328125
Biliran,2025,153.6043455151367,27.7373570375,31.413119606835938,24.10159731992188,178.34825746770449,3.2968398664374075,7.311522566914063,0.5331379768448178,30.418463081685513,3.2417898162966234,74.87077622695314
Leyte,2025,203.12115903222656,27.587543464843748,31.147643252148438,24.07681917753906,177.4383345488853,2.8330364450060324,7.070824104609375,0.6980561990715402,29.947740445859942,3.2476308514291192,74.17369482812501
Southern Leyte,2025,260.4082088842773,27.178506469726564,30.992720696679687,23.40843878046875,180.92727988537402,2.5522140647040437,7.584281626210938,0.709497080651911,29.413813371119367,3.179303247431546,74.79806455449217
Palawan,2025,146.85965396630857,27.562671368554685,31.724700977734376,23.451140576953126,194.21467635581436,3.0919695345735434,8.273560550781248,0.82492660521774,29.66097611067751,3.4296798152869985,69.37628538085939
Aklan,2025,269.42101711914063,27.823837269921874,30.865608710156252,24.832026256835935,183.06782928881955,3.1642424095309454,6.033582123320313,0.7327428136991831,30.27620920463732,3.507554081133274,72.80235344433594
Antique,2025,265.15343844824224,27.825357936132814,30.89320033300781,24.812479418164067,179.69315077370678,3.203674622683016,6.080720444843751,0.7130542151654736,30.113088329832298,3.529280430004927,73.06026871328126
Iloilo,2025,248.41361334423829,28.007526044726564,31.431615769921876,24.633135005468755,178.9490262620462,2.929630873236916,6.7984800044531255,0.7750072356623201,30.4940460987982,3.5163653072378813,74.36057577109375
Guimaras,2025,190.04552254541014,27.80840715253906,31.279816073828123,24.387859797070313,174.12374321536703,3.119899705859192,6.891956216757812,0.7916226558539009,30.004360716668458,3.4108920500071416,72.35627947617188
Negros Occidental,2025,231.1167200424805,27.91007242148438,31.38500291152344,24.48934180078125,168.25571141385427,2.8160311459477056,6.8956611107421875,0.8214368531215932,30.15508284632704,3.4656496285955445,74.41010392871095
Negros Oriental,2025,188.5451502561035,27.2728427171875,30.989586951757815,23.609990434375,170.10281671628388,2.633780248974088,7.379596337382813,0.8028473367386352,29.040037997039306,3.330701229822919,74.80649364980471
Cebu,2025,164.09126895996096,27.540357765624996,31.352645883984376,23.77862394726563,170.5321204220897,3.0374912099518196,7.57402222671875,0.8327230862317373,29.34714715113581,3.365632649343504,74.72975240722656
Dinagat Islands,2025,325.81715658642577,27.06504157402344,30.488151104882817,23.696127008984373,182.17073135454197,2.6066203730558675,6.792024215898437,0.7314331837255083,30.056075480908593,3.076880193507863,74.74396084023438
Surigao del Norte,2025,388.3897517167968,27.765205928710937,31.377882339843755,24.202561235156256,184.8431824086825,2.27337121032099,7.1753205546875,0.7712867969642139,31.585734787715513,3.0878297591912296,74.56696009746094
Surigao del Sur,2025,325.6844662978515,27.132875135937503,31.37477864199219,22.943756133398438,186.48252578679,2.090607597554004,8.43102190859375,0.777416172732585,30.32160670305324,3.048715661369765,74.73459879746095
Davao Oriental,2025,202.05870046435547,26.381022638867186,31.060119899023437,21.748175178710937,188.0460738061175,2.12483924516937,9.3119452203125,0.7512530997402755,28.419812696883817,3.183272401480728,73.92105084375001
Agusan del Norte,2025,353.4917595727539,25.96656252988281,30.245231393359376,21.739553962890625,188.01428297346365,2.0583103826940903,8.50567803046875,0.7505783026295173,28.340267792931492,2.938398065779821,75.82652604785157
