province,year,pre,tmp,tmx,tmn,srad,ws,dtr,vpd,vap,pet,cld
Bukidnon,2025,222.22673321679687,24.112232795898436,28.855231153124997,19.422153990429692,188.34025248371051,1.2886475752465008,9.433078062695312,0.722312251942157,25.271384168499065,2.6069001089993837,78.29211178535155
Apayao,2025,207.05430519921876,25.65262148984375,29.42504217402344,21.931426991601565,192.9699211800553,2.177697128851367,7.4936154024218755,0.6299102565322143,26.639070360657744,3.378442968172988,67.37851115253906
Agusan del Sur,2025,252.20735193164063,27.256798906054687,31.423372352148434,23.13858682578125,187.32792775811907,1.20626809835311,8.284785626367187,0.8384785711255953,30.29640906681798,2.823536658256075,76.07250698398437
Abra,2025,217.37058971044925,24.951178929101562,28.641411192578122,21.308061583203127,201.38426719744137,2.305318738413016,7.333349719375001,0.7036629260508466,25.587659059261973,3.307388864899844,64.94868267050782
Kalinga,2025,202.71306482861328,23.50126467832031,27.52043269902344,19.53377576464844,193.41139139532442,2.055604036122146,7.9866569443749995,0.6422857767066639,24.28118155124349,2.983120457555402,69.56498737109376
Mountain Province,2025,181.53723083496095,28.221015865234374,32.0748026265625,24.416365586328126,191.81310328540428,2.3524957397661677,7.658438030234375,0.5537107369013172,29.65318183880758,3.779038487171366,60.85608503496094
Quirino,2025,227.40384760449214,25.139985511328124,29.213940089453132,21.11356055078125,191.02930206573723,2.703303795857467,8.100379608671876,0.6263150810401882,27.247399816494596,2.962379014076358,72.62857601875001
Ifugao,2025,211.58711386181642,25.121582801367186,29.282439494726557,21.01739555976562,191.51723134358681,2.085016972223915,8.26504363496094,0.6101040537923632,26.473194824429342,3.1157823215761953,69.27358679589845
Benguet,2025,260.2283132416992,21.520753684179684,25.212222119921876,17.876813014257813,194.75407908455202,2.90079714302938,7.335409225664063,0.547150390464038,21.87409187745623,2.712825905564519,72.94822182519532
Nueva Vizcaya,2025,221.01874253320312,24.102063668750002,28.070189098632813,20.18727894238281,192.6182669615131,2.3516229119423055,7.882910266249999,0.6216678606987802,25.134598737143723,2.973253901713754,70.94451445898439
Nueva Ecija,2025,194.02103205273437,26.65932983359375,30.735471261132812,22.636267820117187,204.3650047901203,2.3452684771759893,8.099203341015626,0.9488219199229114,27.985571553334406,3.3581060317845903,69.32482213671875
Tarlac,2025,234.79849717187497,27.199948560351558,30.758583974023438,23.693789632617193,204.63811631610088,2.3227544597124234,7.064794181406251,1.1194492042470552,28.35149058884515,3.42813705640713,70.32248322050782
Laguna,2025,162.5708221499023,27.459083101367185,30.92998978378906,24.024842518945313,183.85314954833945,2.4886573080189978,6.90514734484375,0.7854151466699013,29.612883774201876,3.333229866231264,72.13897858066406
Cavite,2025,177.00828887304684,27.55082166308594,31.126724773046874,24.019913049609375,182.0297732776456,2.8780397668747617,7.106811653437501,0.8849886444342617,28.81164649987113,3.490545232450862,69.18596368417968
