province,year,pre,tmp,tmx,tmn,srad,ws,dtr,vpd,vap,pet,cld
Bukidnon,2025,223.91117230371088,24.5373457109375,29.6437321296875,19.483848326367188,192.4166105159371,1.2288656662575481,10.159884703320314,0.7604129142953187,25.309355255596248,2.9868186268395553,76.66156857246094
Apayao,2025,189.2070700917969,26.69623416074219,30.69730474726563,22.746417225976565,201.90193869714523,2.263554901678515,7.950887741289062,0.7007204765290538,26.750306864983106,3.8016688883948375,63.80570414570313
Agusan del Sur,2025,243.9030031767578,27.6428859421875,32.25632218125,23.07774698203125,191.95095632257213,1.19757052898284,9.178575299218751,0.8877648305318117,30.3332576769178,3.295585688784319,74.22329555820312
Abra,2025,209.17118327734377,26.25304660488281,30.258537657421872,22.294612486523437,210.15631462175776,2.5831369890691436,7.963925280898438,0.7970098045796599,25.729001694418614,3.841771687200484,61.43986370078125
Kalinga,2025,205.13275782177732,24.639683257421872,28.96296199589844,20.368077522460936,203.07707132696504,2.27718511369783,8.5948844834375,0.742107369097752,24.403971316808978,3.522755405942936,65.6987153984375
Mountain Province,2025,171.61738983154297,29.47302087011719,33.65130409140625,25.343898545312502,201.74912776050192,2.6051774242601855,8.30740653609375,0.6264987968874006,29.754525679471502,4.282446335779342,56.88167524492189
Quirino,2025,201.70203180859374,26.13098892929688,30.46178860019532,21.847688358398443,202.99705108917468,2.7891869841051484,8.614100311796875,0.7177812369977746,27.33762711871451,3.466774545296385,67.84147640937499
Ifugao,2025,192.5551802680664,26.358579261328128,30.841787028906246,21.93206535957031,201.9990886433915,2.3044861857096333,8.909721369335937,0.6943913652817778,26.584851676557214,3.651227155502014,65.08084387597657
Benguet,2025,215.04887140820313,22.72233144296875,26.708297559374998,18.78386257480469,204.6201893140442,2.893516650246787,7.924435104570312,0.6252415426366215,21.98050176747252,3.2064922858216445,69.00177773339844
Nueva Vizcaya,2025,182.71597153710934,25.306314767382815,29.588063244140624,21.07788258007813,204.01371373885684,2.5157255139473103,8.5101807740625,0.7161201594463962,25.252553389182168,3.534534351059561,66.38633574804687
Nueva Ecija,2025,163.4954979951172,27.741513671484373,32.077078927148435,23.459036985156253,214.6457817676594,2.335235632632532,8.618041841992188,1.0436113624031806,28.11672433114385,3.876483211753172,65.21251134570313
Tarlac,2025,196.7823198037109,28.125699292773437,31.869777821679687,24.434115560351568,211.94050736834694,1.9325867465471402,7.435662101328126,1.1921458259751556,28.459456231845564,3.800046575435078,67.40152679960939
Laguna,2025,170.71381836572263,28.196049043749998,31.804449622656254,24.624311513085942,190.1033326538082,2.014271808064774,7.180138189570313,0.8311571175974276,29.715256057728862,3.630776555853203,69.63890533847655
Cavite,2025,164.40347777685545,28.351258064453127,32.0940160328125,24.653503747851563,188.1777469104581,2.4524919286637026,7.440512214960938,0.9449588455016145,28.92556466623724,3.8323492444107785,66.72677423105468
Batangas,2025,155.9511194628906,28.113433457421877,31.720986658007813,24.557580626171873,184.94362353156552,2.2908542916676957,7.163406061835937,0.8493603135491536,29.857793116588923,3.5351172458305844,70.48600646972656
Quezon,2025,181.63767143798827,27.87992696777344,31.123862684765626,24.68585795429688,192.1517687330505,2.620651659771907,6.438004390468749,0.8137789566984305,30.420722039965803,3.530476407123659,70.49084136367188
Camarines Norte,2025,224.4721827407226,27.814764704296874,30.915455182031252,24.757413630078123,189.88579929885626,2.5153818177715754,6.158041621953124,0.774242712161304,30.58812197112404,3.4768554674994165,71.50291734941406
