province,year,pre,tmp,tmx,tmn,srad,ws,dtr,vpd,vap,pet,cld
Bukidnon,2025,214.47445678710938,24.310906982421898,29.137963867187523,19.483880615234398,222.13739013671875,2.5076606273651123,9.654083251953125,0.35312593787949836,2.6869306879733146,5.77581612319177,11.145043945312505
Apayao,2025,226.38101196289062,24.103387451171898,25.624230957031273,22.582513427734398,198.48684692382812,6.532331466674805,3.041717529296875,0.4943339906555284,2.50815048788036,2.8825834186353925,20.605261230468752
Agusan del Sur,2025,182.97421264648438,28.235437011718773,33.06478271484377,23.406121826171898,220.90011596679688,1.9375470876693726,9.658660888671875,0.4878473997010818,3.344210403980618,6.280413693267264,11.63995361328125
Abra,2025,265.4274597167969,24.695336914062523,26.129205322265648,23.261468505859398,198.9000701904297,6.461762428283691,2.86773681640625,0.5113693265766022,2.5993744340885407,2.8443788298840316,20.439971923828125
Kalinga,2025,256.32073974609375,26.240014648437523,27.704919433593773,24.775109863281273,199.52980041503906,6.446796417236328,2.9298095703125,0.5611580619782647,2.84827030150204,2.988935188910431,20.188079833984375
Mountain Province,2025,300.3035583496094,19.815087890625023,21.236016845703148,18.394158935546898,199.58592224121094,6.4238457679748535,2.84185791015625,0.38322673501646315,1.9284227786369554,2.5149812088925017,20.165631103515626
Quirino,2025,307.4422302246094,24.958428955078148,26.453118896484398,23.463708496093773,201.3188018798828,6.5171027183532715,2.989410400390625,0.5308604936522903,2.629081659211487,2.9576067312780623,19.47247924804687
Ifugao,2025,313.50543212890625,22.220361328125023,23.637322998046898,20.803430175781273,199.879150390625,6.424600124359131,2.833892822265625,0.44768290620491313,2.2319689085867633,2.6759733824856484,20.048339843749996
Benguet,2025,342.716796875,21.606439208984398,23.001306152343773,20.211572265625023,199.66062927246094,6.414460182189941,2.78973388671875,0.4374656748787865,2.1437030158087267,2.6114552999914182,20.13574829101562
Nueva Vizcaya,2025,338.1786804199219,24.238000488281273,25.675988769531273,22.800042724609398,200.40780639648438,6.469611644744873,2.875946044921875,0.5131987232332224,2.5136114552150217,2.839151913791765,19.83687744140625
Nueva Ecija,2025,292.92291259765625,27.518853759765648,28.891168212890648,26.146539306640648,201.7123260498047,6.421931266784668,2.74462890625,0.636923076317674,3.038394539221611,3.00950278314675,19.315069580078127
Tarlac,2025,298.3824462890625,26.135675048828148,27.491021728515648,24.780358886718773,201.0189208984375,6.327122688293457,2.710662841796875,0.6033089309727057,2.785184917198772,2.8895723338454764,19.592431640624998
Laguna,2025,233.72866821289062,26.676660156250023,28.104516601562523,25.248834228515648,207.1222686767578,6.6000285148620605,2.855682373046875,0.6386509222721698,2.8596128303630577,3.0935382560389137,17.151092529296875
Cavite,2025,230.61639404296875,28.242272949218773,29.662500000000023,26.822015380859398,205.1495361328125,6.470831394195557,2.840484619140625,0.7041288391817817,3.129451790672554,3.1634800057102748,17.940185546875
Batangas,2025,235.26963806152344,27.288140869140648,28.675286865234398,25.900994873046898,207.11839294433594,6.520243167877197,2.7742919921875,0.6801424620578678,2.945913313035648,3.0909975345032787,17.15264282226563
Quezon,2025,252.28536987304688,27.999505615234398,29.458215332031273,26.540795898437523,207.44204711914062,6.665778160095215,2.91741943359375,0.6646608229164772,3.1151607335334166,3.2247688783279314,17.023181152343746
Camarines Norte,2025,241.62672424316406,27.814050292968773,29.242913818359398,26.385217285156273,207.89735412597656,6.643294811248779,2.857696533203125,0.654470187414651,3.084726952648377,3.185643930564255,16.841058349609373
Camarines Sur,2025,220.27896118164062,27.463006591796898,28.874444580078148,26.051568603515648,209.4274139404297,6.793782711029053,2.8228759765625,0.6604244108399314,3.002915564352654,3.1649321638896697,16.229034423828125
Albay,2025,211.58709716796875,27.365045166015648,28.784417724609398,25.945642089843773,211.31622314453125,7.092090606689453,2.838775634765625,0.6749122408060843,2.9674998643863546,3.1955263409284314,15.473510742187502
Sorsogon,2025,199.44085693359375,27.787164306640648,29.234857177734398,26.339471435546898,211.41822814941406,7.202503204345703,2.8953857421875,0.6974649943424355,3.0358743723430033,3.258965787598885,15.43270874023438
Rizal,2025,276.7628479003906,26.120324707031273,27.523675537109398,24.716973876953148,205.34185791015625,6.50554084777832,2.80670166015625,0.6042556757758056,2.781167778299341,3.002498047411163,17.863256835937502
Bulacan,2025,277.4318542480469,27.221612548828148,28.588006591796898,25.855249023437523,203.96083068847656,6.4284987449646,2.732757568359375,0.6434075562916093,2.968550334177627,3.0165459809909554,18.415667724609374
Pampanga,2025,264.7843017578125,27.714257812500023,29.064599609375023,26.363916015625023,202.17811584472656,6.344345569610596,2.70068359375,0.6655533505414807,3.051941732261642,3.005107702883596,19.128753662109375
Bataan,2025,255.9301300048828,26.574212646484398,27.980981445312523,25.167443847656273,203.75460815429688,6.3411946296691895,2.81353759765625,0.6406155817373823,2.836626202490653,3.0137417871036534,18.498156738281246
Zambales,2025,299.2334899902344,24.574426269531273,25.944238281250023,23.204583740234398,200.642333984375,6.311569690704346,2.739654541015625,0.5532143965373442,2.535143963622732,2.7965068181194557,19.743066406249998
Pangasinan,2025,279.4046630859375,27.852197265625023,29.292443847656273,26.411950683593773,199.59580993652344,6.434611797332764,2.8804931640625,0.6529783972959676,3.0945437295476244,3.0731807783760705,20.16167602539063
La Union,2025,301.111572265625,26.759057617187523,28.150933837890648,25.367211914062523,199.39060974121094,6.410431385040283,2.783721923828125,0.5985132341518768,2.916738517316755,2.9457453595217817,20.24375610351562
Ilocos Sur,2025,272.3679504394531,27.773767089843773,29.160119628906273,26.387414550781273,198.8000946044922,6.4411444664001465,2.772705078125,0.6178027136886447,3.112620723473962,2.99795377764421,20.479962158203126
Ilocos Norte,2025,247.52415466308594,26.025445556640648,27.474877929687523,24.576013183593773,197.83958435058594,6.51423978805542,2.89886474609375,0.5564843579177297,2.8100150024243624,2.9335607472303997,20.864166259765625
Isabela,2025,250.1046142578125,26.105157470703148,27.601556396484398,24.608789062500023,200.86367797851562,6.454840183258057,2.992767333984375,0.5588046031306612,2.823587463399129,3.031761305930901,19.654528808593753
Occidental Mindoro,2025,203.78240966796875,27.875207519531273,29.242883300781273,26.507501220703148,209.5989532470703,6.607665538787842,2.735382080078125,0.7297910002283304,3.0227605570818943,3.146445515653256,16.160418701171874
Oriental Mindoro,2025,202.1529083251953,26.231774902343773,27.603936767578148,24.859613037109398,211.70169067382812,6.891578674316406,2.74432373046875,0.6565291745014435,2.751241891968217,3.0686670310430304,15.319323730468748
Marinduque,2025,227.40557861328125,26.359277343750023,27.756463623046898,24.962091064453148,210.74313354492188,6.888916015625,2.79437255859375,0.6374423096804092,2.796052666060603,3.0914279088155605,15.702746582031246
Romblon,2025,200.184814453125,26.977716064453148,28.377679443359398,25.577752685546898,213.22889709472656,7.183002948760986,2.7999267578125,0.6781736050520173,2.8825081216357202,3.17484781713711,14.708441162109375
Masbate,2025,185.693115234375,27.429284667968773,28.905847167968773,25.952691650390648,213.3450469970703,7.40318489074707,2.953155517578125,0.6896602196338298,2.966463826207909,3.2952397778201763,14.66198120117187
Catanduanes,2025,219.37661743164062,26.347283935546898,27.769555664062523,24.924981689453148,208.81468200683594,6.79088020324707,2.844573974609375,0.6249139554168371,2.8061541352105026,3.0896921932608694,16.47412719726562
Batanes,2025,186.0194091796875,27.020928955078148,27.352319335937523,26.689538574218773,192.64891052246094,6.544683933258057,0.66278076171875,0.5784198435577079,2.991300356439651,1.3969277225478274,22.940435791015624
Northern Samar,2025,197.5011749267578,27.221276855468773,28.754663085937523,25.687890625000023,210.4203643798828,7.200674533843994,3.0667724609375,0.6744803028647378,2.937406572707222,3.296764553968912,15.831854248046874
Eastern Samar,2025,187.687255859375,27.480981445312523,29.211114501953148,25.750848388671898,211.2734375,6.286829471588135,3.46026611328125,0.6408763272478498,3.0263150314195317,3.536364793479933,15.490625000000001
Samar,2025,191.3670654296875,27.391503906250023,28.910455322265648,25.872552490234398,211.5306854248047,6.820635795593262,3.03790283203125,0.6511960058433387,2.9968582916031345,3.3109962491675766,15.387725830078125
Biliran,2025,192.42425537109375,26.159570312500023,27.668725585937523,24.650415039062523,214.07781982421875,6.862644195556641,3.018310546875,0.6055302839101663,2.78774795299035,3.2489920681356206,14.368872070312499
Leyte,2025,164.02392578125,27.597314453125023,29.336206054687523,25.858422851562523,216.23336791992188,6.407948970794678,3.477783203125,0.6140512562675702,3.078151564897392,3.637857693592162,13.506652832031252
Southern Leyte,2025,179.35256958007812,26.813745117187523,29.309503173828148,24.317956542968773,217.73439025878906,5.363720893859863,4.991546630859375,0.5284904335068232,2.9980759519286955,4.312755682732043,12.906243896484371
Palawan,2025,134.17083740234375,28.164147949218773,29.438806152343773,26.889520263671898,216.23031616210938,6.464498519897461,2.549285888671875,0.8316446910221466,2.984563560884807,3.1534550633978116,13.507873535156245
Aklan,2025,176.61729431152344,27.066247558593773,28.447961425781273,25.684503173828148,216.681640625,7.079024314880371,2.763458251953125,0.6987533028543165,2.880467266350752,3.211514565468207,13.327343749999997
Antique,2025,103.93301391601562,28.034753417968773,28.330468750000023,27.739007568359398,217.55841064453125,7.065664768218994,0.591461181640625,0.7506168818233979,3.036969085719093,1.5239667039391227,12.976635742187504
Iloilo,2025,172.62367248535156,27.586328125000023,29.014184570312523,26.158441162109398,218.16246032714844,6.950420379638672,2.855743408203125,0.7017388235632476,2.9880956155271687,3.325111717005984,12.73501586914062
Guimaras,2025,160.39634704589844,28.525689697265648,30.001733398437523,27.049676513671898,220.87774658203125,6.814340114593506,2.952056884765625,0.7600382327489879,3.137143921022112,3.4936371430388107,11.648901367187502
