province,year,pre,tmp,tmx,tmn,srad,ws,dtr,vpd,vap,pet,cld
Bukidnon,2025,189.95858764648438,24.025567626953148,28.462762451171898,19.588372802734398,220.18663024902344,2.3790454864501953,8.8743896484375,0.3186485103236151,2.6698512217180017,5.451846428831371,11.925347900390626
Apayao,2025,187.50601196289062,23.664483642578148,25.099664306640648,22.229272460937523,203.68162536621094,6.59871244430542,2.870391845703125,0.4854840206835122,2.438867447252771,2.8434152331051323,18.52734985351563
Agusan del Sur,2025,177.29722595214844,28.029382324218773,32.5262390136719,23.532556152343773,219.0317840576172,1.8422527313232422,8.993682861328125,0.4573659337950292,3.329035989499154,5.982207978159271,12.38728637695312
Abra,2025,223.42015075683594,24.225000000000023,25.535424804687523,22.914605712890648,204.01626586914062,6.509754657745361,2.620819091796875,0.49244489451460843,2.5320085107771417,2.758243585479249,18.39349365234375
Kalinga,2025,212.34878540039062,25.818414306640648,27.177606201171898,24.459222412109398,204.09793090820312,6.462905406951904,2.7183837890625,0.5444703564762706,2.7810554108364154,2.9167918618277184,18.360827636718746
Mountain Province,2025,251.068603515625,19.349267578125023,20.661737060546898,18.036767578125023,204.17613220214844,6.465393543243408,2.624969482421875,0.36848884096976825,1.8772438783996899,2.44207465406078,18.32954711914062
Quirino,2025,251.35687255859375,24.538934326171898,25.973626708984398,23.104272460937523,204.55931091308594,6.530603885650635,2.869354248046875,0.5162090366648405,2.565605076422787,2.9153643428758724,18.176275634765627
Ifugao,2025,262.2878112792969,21.745874023437523,23.061914062500023,20.429833984375023,204.2678985595703,6.476602077484131,2.632080078125,0.4301987380683072,2.1730555714989714,2.6043084923175197,18.292840576171876
Benguet,2025,309.4315490722656,21.129205322265648,22.407098388671898,19.851342773437523,204.4701690673828,6.537386894226074,2.555755615234375,0.41695502195083517,2.0898567434063318,2.528754885274024,18.211932373046878
Nueva Vizcaya,2025,281.7958068847656,23.747155761718773,25.103784179687523,22.390527343750023,204.65834045410156,6.535643577575684,2.7132568359375,0.49338474176086694,2.4455467669572464,2.783285632669972,18.136663818359377
Nueva Ecija,2025,240.0728759765625,27.007897949218773,28.348321533203148,25.667504882812523,206.98973083496094,6.492450714111328,2.680816650390625,0.6189085247822274,2.9480839882961005,3.0177169688428096,17.204107666015624
Tarlac,2025,253.30838012695312,25.705651855468773,27.004785156250023,24.406488037109398,207.87322998046875,6.4666619300842285,2.598297119140625,0.5883948283124029,2.714997479453454,2.8968781551713763,16.8507080078125
Laguna,2025,192.51119995117188,26.348657226562523,27.701928710937523,24.995385742187523,211.4465789794922,6.703958034515381,2.70654296875,0.62677745647492,2.804568445964806,3.0518782477927138,15.42136840820313
Cavite,2025,193.49212646484375,27.842767333984398,29.184686279296898,26.500848388671898,210.2090606689453,6.56753396987915,2.683837890625,0.6815000698203058,3.063962620307592,3.123511562843584,15.916375732421873
Batangas,2025,202.76904296875,26.947656250000023,28.244592285156273,25.650750732421898,211.51089477539062,6.474762439727783,2.593841552734375,0.6537415012350024,2.900664631419901,3.029119005054258,15.395642089843752
Quezon,2025,203.16510009765625,27.711236572265648,29.128961181640648,26.293511962890648,210.6941375732422,6.83506965637207,2.83544921875,0.6664117991897488,3.0504279628502156,3.208659280725155,15.722344970703128
Camarines Norte,2025,206.67034912109375,27.542657470703148,28.967309570312523,26.117974853515648,209.2642364501953,6.606660842895508,2.849334716796875,0.6496467773665269,3.0307864177832573,3.182843583979086,16.294305419921873
Camarines Sur,2025,193.6114044189453,27.231195068359398,28.601281738281273,25.861138916015648,210.12796020507812,6.704883098602295,2.740142822265625,0.6532004821319303,2.96078507371004,3.1126156432563064,15.948815917968751
Albay,2025,195.3672332763672,27.124505615234398,28.473321533203148,25.775659179687523,212.11936950683594,6.868642807006836,2.697662353515625,0.6623598264585734,2.9291060214565316,3.110276565786247,15.152252197265625
Sorsogon,2025,193.8853759765625,27.541741943359398,28.915063476562523,26.168450927734398,212.16136169433594,6.910929203033447,2.746612548828125,0.682053319747519,2.998183007757147,3.1681429812187227,15.135455322265623
Rizal,2025,224.62330627441406,25.737268066406273,27.089196777343773,24.385339355468773,209.97349548339844,6.67974328994751,2.703857421875,0.5959808440158517,2.713604226527726,2.987164393697416,16.010601806640622
Bulacan,2025,223.90052795410156,26.773950195312523,28.093194580078148,25.454705810546898,209.18846130371094,6.559393405914307,2.63848876953125,0.6282693110861073,2.890060519919001,3.0098028730721698,16.324615478515625
Pampanga,2025,222.9170684814453,27.264672851562523,28.533380126953148,25.995965576171898,208.5187530517578,6.544882297515869,2.53741455078125,0.6465605936222463,2.9745166595637076,2.97453191697916,16.59249877929687
Bataan,2025,222.4560089111328,26.208489990234398,27.552941894531273,24.864038085937523,209.19354248046875,6.400111675262451,2.68890380859375,0.6185722124898063,2.7845192496953364,2.999949564430485,16.322583007812497
Zambales,2025,260.0389404296875,24.187219238281273,25.525170898437523,22.849298095703148,207.64723205566406,6.361513614654541,2.675872802734375,0.5403282878102044,2.477285174927583,2.8341156636576157,16.94110717773437
Pangasinan,2025,253.25709533691406,27.453515625000023,28.846093750000023,26.060906982421898,205.81753540039062,6.466352462768555,2.785186767578125,0.633878161353953,3.0274296522918487,3.0888970752730303,17.672985839843747
La Union,2025,275.7300720214844,26.318688964843773,27.623254394531273,25.014093017578148,204.64451599121094,6.47733736038208,2.609161376953125,0.5748118719763469,2.850476010299208,2.8981092864388702,18.142193603515622
Ilocos Sur,2025,246.44508361816406,27.341943359375023,28.619714355468773,26.064172363281273,203.9893341064453,6.47424840927124,2.5555419921875,0.5943222080150407,3.0431697697388844,2.9253026263758084,18.40426635742187
Ilocos Norte,2025,206.45135498046875,25.606439208984398,26.975488281250023,24.237390136718773,203.57972717285156,6.594387531280518,2.73809814453125,0.5513582216025842,2.7326665346728687,2.905726756611929,18.568109130859376
Isabela,2025,206.9986572265625,25.738153076171898,27.180963134765648,24.295343017578148,203.63330078125,6.438450336456299,2.8856201171875,0.5455149865512509,2.764243579022523,2.9928156069980365,18.5466796875
Occidental Mindoro,2025,200.3484344482422,27.621911621093773,28.900903320312523,26.342919921875023,212.20509338378906,6.327639102935791,2.5579833984375,0.693207835921689,3.004302329364319,3.0634560275184803,15.117962646484372
Oriental Mindoro,2025,180.69435119628906,25.995904541015648,27.290917968750023,24.700891113281273,214.108642578125,6.63439416885376,2.59002685546875,0.6307612058656022,2.7298649112167657,2.998896039889546,14.356542968749997
Marinduque,2025,179.86099243164062,26.137353515625023,27.441339111328148,24.833337402343773,214.3197784423828,6.913929462432861,2.608001708984375,0.6280028501681935,2.7608268741116437,3.0219805193746163,14.272088623046875
Romblon,2025,173.13336181640625,26.748345947265648,28.084832763671898,25.411859130859398,215.2696990966797,6.85481071472168,2.6729736328125,0.6554040663650945,2.8576351892669107,3.1156839938693985,13.89212036132812
Masbate,2025,173.337158203125,27.142205810546898,28.546807861328148,25.737603759765648,214.298095703125,6.981189250946045,2.8092041015625,0.6625113327420505,2.9326821442071362,3.2077899431035926,14.280761718750002
Catanduanes,2025,201.18618774414062,26.114953613281273,27.528802490234398,24.701104736328148,208.89874267578125,6.6345343589782715,2.82769775390625,0.6147570829042635,2.769592611176911,3.0655353344741667,16.440502929687494
Batanes,2025,145.62608337402344,26.622277832031273,26.942742919921898,26.301812744140648,196.49114990234375,6.552186012268066,0.64093017578125,0.5821176692879609,2.904973223424852,1.3886434702246846,21.403540039062495
Northern Samar,2025,215.75775146484375,27.022424316406273,28.473016357421898,25.571832275390648,211.48875427246094,6.897581577301025,2.90118408203125,0.6585639981625494,2.911469331262202,3.208572398143788,15.404498291015623
Eastern Samar,2025,208.27774047851562,27.333428955078148,29.053430175781273,25.613427734375023,211.2214813232422,5.8571553230285645,3.44000244140625,0.6216027673619111,3.01407730791156,3.5136408506322248,15.51140747070312
Samar,2025,205.78433227539062,27.175744628906273,28.638726806640648,25.712731933593773,212.1414794921875,6.488059997558594,2.925994873046875,0.6277468919599715,2.974519041775415,3.2432640981080336,15.143408203124997
Biliran,2025,203.2451629638672,25.872277832031273,27.288507080078148,24.456079101562523,214.20388793945312,6.615257740020752,2.832427978515625,0.5722675859438081,2.7638762663011605,3.128630031873705,14.318444824218746
Leyte,2025,171.09051513671875,27.217187500000023,28.858453369140648,25.575952148437523,214.52581787109375,6.056541442871094,3.282501220703125,0.5609784426865833,3.0500434399441194,3.476978069748865,14.189672851562495
Southern Leyte,2025,190.06182861328125,26.464562988281273,28.803674316406273,24.125451660156273,214.51698303222656,5.050571441650391,4.67822265625,0.4711748924685372,2.9836890789985295,4.081312823504221,14.19320678710938
Palawan,2025,136.903564453125,27.647332763671898,28.866632080078148,26.428002929687523,213.40164184570312,6.071284770965576,2.438629150390625,0.7519293733620236,2.95107290446612,3.009682032406084,14.639343261718752
Aklan,2025,156.3688201904297,26.722558593750023,28.015191650390648,25.429956054687523,216.42022705078125,6.676833629608154,2.585235595703125,0.6521756101557363,2.8555422414669644,3.078715828157228,13.431909179687496
Antique,2025,95.98870086669922,27.663812255859398,27.861383056640648,27.466241455078148,216.7291259765625,6.63646936416626,0.3951416015625,0.6938234606589464,3.0127429237513397,1.230838537602862,13.308349609375004
Iloilo,2025,147.2524871826172,27.173791503906273,28.482720947265648,25.864862060546898,216.68922424316406,6.663947105407715,2.61785888671875,0.6532726467909175,2.948581092107757,3.1333687789744755,13.324310302734377
Guimaras,2025,137.88430786132812,28.033044433593773,29.335412597656273,26.730706787109398,217.8076934814453,6.542161464691162,2.604705810546875,0.6947837982415516,3.0924253929920598,3.201642526093358,12.87692260742187
Negros Occidental,2025,132.40431213378906,28.021295166015648,29.339227294921898,26.703363037109398,217.8084259033203,6.549671649932861,2.6358642578125,0.6825112642079345,3.102108473014893,3.219920403595126,12.876629638671877
Negros Oriental,2025,124.7334213256836,26.965570068359398,28.349084472656273,25.582055664062523,219.0525360107422,5.739480018615723,2.76702880859375,0.6020453719095569,2.9560994715219815,3.2414611718274204,12.37898559570313
Cebu,2025,138.6450958251953,26.832177734375023,28.391290283203148,25.273065185546898,216.62258911132812,6.385535717010498,3.11822509765625,0.5775654361074877,2.952821728912995,3.3927130555502463,13.350964355468752
Dinagat Islands,2025,201.53968811035156,26.832421875000023,29.081658935546898,24.583154296875023,212.8651580810547,5.2463860511779785,4.498504638671875,0.5266529073160299,3.003784888243585,4.004337736555783,14.853936767578125
Surigao del Norte,2025,197.4722442626953,27.685418701171898,31.047326660156273,24.323510742187523,213.8649444580078,3.969595193862915,6.72381591796875,0.5209703290242323,3.1902735201394727,5.01257964385692,14.45402221679688
Surigao del Sur,2025,194.62869262695312,27.340234375000023,31.453576660156273,23.226892089843773,215.49276733398438,2.906038999557495,8.2266845703125,0.48521358521314967,3.151914650124651,5.544348354349955,13.802893066406252
Davao Oriental,2025,178.4617919921875,25.149865722656273,29.252618408203148,21.047082519531273,218.15924072265625,2.5400731563568115,8.205535888671875,0.37367896206921003,2.8224871743704525,5.333723240189126,12.736303710937502
Agusan del Norte,2025,137.2416229248047,26.137231445312523,26.922570800781273,25.351892089843773,216.82168579101562,3.15541672706604,1.5706787109375,0.42651757036060517,2.9622877255876574,2.372578888978578,13.271325683593748
Davao de Oro,2025,179.42478942871094,26.126184082031273,30.437036132812523,21.815332031250023,218.65402221679688,2.268754243850708,8.6217041015625,0.3759750557993104,3.0106201113923152,5.604270425657693,12.538391113281255
Davao del Norte,2025,157.2108154296875,28.666345214843773,32.9501892089844,24.382501220703148,220.27320861816406,1.6186119318008423,8.56768798828125,0.4093111862800025,3.5197749976472408,5.953516920583412,11.890716552734371
Davao del Sur,2025,137.2808837890625,27.923516845703148,32.3489929199219,23.498071289062523,220.9371795654297,1.8319835662841797,8.850921630859375,0.4265576206956026,3.336572195374937,5.972336355767911,11.625128173828125
Sarangani,2025,134.71726989746094,27.109033203125023,30.372064208984398,23.846002197265648,220.2757110595703,2.705202579498291,6.52606201171875,0.4476212216822942,3.14058892209792,5.021893451745159,11.889715576171877
South Cotabato,2025,128.8125762939453,26.997277832031273,30.640710449218773,23.353875732421898,220.86338806152344,2.483877182006836,7.286834716796875,0.4212305220365361,3.1435403010064995,5.307455874417558,11.654644775390622
North Cotabato,2025,136.30126953125,28.367791748046898,32.3840270996094,24.351525878906273,221.51222229003906,2.3840603828430176,8.032501220703125,0.4061373198973918,3.4554986284666787,5.7597518779087435,11.395111083984377
Sultan Kudarat,2025,132.32470703125,23.359918212890648,26.052911376953148,20.666925048828148,221.3661651611328,2.9158260822296143,5.385986328125,0.383113645894955,2.4880678754963927,4.202037719993142,11.453533935546877
Maguindanao del Sur,2025,124.50749969482422,28.730004882812523,32.3051696777344,25.154870605468773,221.83802795410156,2.602727174758911,7.150299072265625,0.464701384885719,3.4788988821075852,5.48495130263519,11.264788818359373
Lanao del Sur,2025,165.65408325195312,23.912255859375023,27.114251708984398,20.710290527343773,222.0126953125,3.247325897216797,6.403961181640625,0.3557902757523056,2.612448194840442,4.657012578581998,11.194921874999997
Lanao del Norte,2025,149.3248291015625,26.945764160156273,29.158074951171898,24.733453369140648,223.10235595703125,3.857926607131958,4.42462158203125,0.48281323546146504,3.0711982076798483,4.1728784154037415,10.759057617187494
Misamis Oriental,2025,167.34263610839844,26.038140869140648,30.159844970703148,21.916467285156273,219.70909118652344,2.9599831104278564,8.243377685546875,0.3875264272388178,2.9814997184378496,5.495337033152771,12.116363525390629
Misamis Occidental,2025,161.24578857421875,24.590081787109398,26.594079589843773,22.586114501953148,222.66961669921875,4.396586894989014,4.007965087890625,0.4524432540644011,2.638805627648168,3.755162708887724,10.932153320312498
Zamboanga del Norte,2025,162.53855895996094,26.398370361328148,27.893273925781273,24.903497314453148,221.9935302734375,4.5950775146484375,2.989776611328125,0.5788093849495084,2.862606511241583,3.371378578338257,11.202587890625004
Zamboanga Sibugay,2025,137.8547821044922,28.234429931640648,29.598291015625023,26.870538330078148,222.02182006835938,4.390565395355225,2.727752685546875,0.6736758667047601,3.1581576365538733,3.354459111355629,11.191271972656248
Zamboanga del Sur,2025,145.64251708984375,27.542169189453148,29.321405029296898,25.762963867187523,223.01194763183594,4.017195224761963,3.558441162109375,0.5547035069155696,3.125624691015699,3.7905470948318496,10.795220947265626
Basilan,2025,172.3517303466797,26.208917236328148,27.517480468750023,24.900323486328148,221.34266662597656,4.396015644073486,2.617156982421875,0.6291097954725282,2.7740674805543,3.1315711727550224,11.462933349609372
Sulu,2025,169.43284606933594,27.002679443359398,28.250299072265648,25.755059814453148,218.22715759277344,3.9148850440979004,2.4952392578125,0.6303987423904928,2.9355019275074277,3.069095905054519,12.709136962890621
Capiz,2025,151.26882934570312,27.641900634765648,28.941125488281273,26.342675781250023,216.4376983642578,6.660131931304932,2.59844970703125,0.6780712453018806,3.0237568514982858,3.1505627278962667,13.42492065429688
Bohol,2025,141.53477478027344,27.017297363281273,28.894738769531273,25.139855957031273,217.30783081054688,5.372348785400391,3.7548828125,0.5213948305660095,3.047565011841991,3.7502551182057355,13.076867675781244
Camiguin,2025,180.9708251953125,26.410302734375023,29.590112304687523,23.230523681640648,218.25860595703125,3.929103136062622,6.359588623046875,0.43218322771010087,3.0116535426894138,4.83560653850376,12.696557617187498
Davao Occidental,2025,167.3903350830078,23.241662597656273,27.158105468750023,19.325219726562523,220.82521057128906,2.4733822345733643,7.8328857421875,0.3662928659987847,2.4844725733628277,5.040528483562642,11.669915771484373
Siquijor,2025,179.99349975585938,27.025842285156273,28.828332519531273,25.223352050781273,220.37744140625,5.00849723815918,3.60498046875,0.5410696199974306,3.029679523671368,3.7272509311242614,11.849023437499994
Maguindanao del Norte,2025,137.24761962890625,26.853417968750023,29.421624755859398,24.285211181640648,222.8818817138672,3.229121685028076,5.13641357421875,0.4606098250094079,3.074184563847105,4.482301275038792,10.847247314453124
