province,year,pre,tmp,tmx,tmn,srad,ws,dtr,vpd,vap,pet,cld
Bukidnon,2025,204.46141052246094,24.180322265625023,29.187005615234398,19.173608398437523,223.54957580566406,2.7551653385162354,10.013397216796875,0.3434085317406105,2.6729577400576,5.901357421887421,10.580169677734375
Apayao,2025,187.37416076660156,23.972039794921898,25.590783691406273,22.353295898437523,211.24876403808594,7.166693210601807,3.23748779296875,0.5129289307663696,2.465984509774199,3.155189936214266,15.500494384765629
Agusan del Sur,2025,182.29840087890625,28.177331542968773,33.2254577636719,23.129174804687523,222.61526489257812,2.100360155105591,10.096282958984375,0.4830617808633453,3.336073244571291,6.462804788258888,10.953894042968749
Abra,2025,224.40492248535156,24.719659423828148,26.300195312500023,23.139093017578148,211.23004150390625,7.625802040100098,3.161102294921875,0.5380844017617162,2.577179485523065,3.1732648063378157,15.507983398437498
Kalinga,2025,227.0657958984375,26.196221923828148,27.815942382812523,24.576501464843773,212.07281494140625,7.376162052154541,3.23944091796875,0.5921527512888679,2.8084754320113494,3.33715973816237,15.170874023437497
Mountain Province,2025,252.04002380371094,19.827935791015648,21.430718994140648,18.225152587890648,212.768798828125,7.568178653717041,3.20556640625,0.4063240314058164,1.907167273272023,2.8484742881126963,14.892480468750001
Quirino,2025,245.664306640625,24.869622802734398,26.550286865234398,23.188958740234398,215.6910858154297,7.102886199951172,3.361328125,0.5643354634382443,2.5789245582075155,3.353111797399093,13.72356567382812
Ifugao,2025,254.7827606201172,22.231195068359398,23.846124267578148,20.616296386718773,213.67022705078125,7.547793388366699,3.229827880859375,0.4759152150698868,2.2055035690265745,3.0547370689617974,14.531909179687496
Benguet,2025,267.8128662109375,21.633111572265648,23.219842529296898,20.046380615234398,213.8695068359375,7.261079788208008,3.1734619140625,0.4639487324730722,2.1214319898739786,2.98550731297833,14.452197265625
Nueva Vizcaya,2025,254.94186401367188,24.244836425781273,25.913018798828148,22.576623535156273,215.41024780273438,7.557046890258789,3.336395263671875,0.5483918980716005,2.479658165162973,3.287451497472895,13.835900878906248
Nueva Ecija,2025,218.2637481689453,27.439233398437523,29.061395263671898,25.817102050781273,217.2909698486328,7.198530673980713,3.244293212890625,0.6713569383402386,2.986894681635855,3.518507999977371,13.083612060546878
Tarlac,2025,209.47006225585938,26.054681396484398,27.607690429687523,24.501672363281273,215.79493713378906,6.465644359588623,3.10601806640625,0.6281793844994553,2.744141350326756,3.314368393167677,13.682025146484378
Laguna,2025,211.15216064453125,26.515374755859398,28.104241943359398,24.926507568359398,218.73562622070312,6.863831996917725,3.177734375,0.6400795164751345,2.825138707756913,3.433794689201399,12.505749511718744
Cavite,2025,179.51832580566406,28.082757568359398,29.690270996093773,26.475244140625023,218.07118225097656,6.708685398101807,3.21502685546875,0.7077033317999987,3.090479352815184,3.565181713736274,12.77152709960937
Batangas,2025,206.9000244140625,27.136651611328148,28.668237304687523,25.605096435546898,217.69781494140625,6.710926532745361,3.063140869140625,0.6743529366272251,2.919670473419655,3.4023566934481533,12.9208740234375
Quezon,2025,218.5596923828125,27.827569580078148,29.441033935546898,26.214105224609398,219.29287719726562,6.754409313201904,3.2269287109375,0.6793262598432673,3.0628194117008207,3.571808165596207,12.282849121093752
Camarines Norte,2025,221.27835083007812,27.610040283203148,29.147058105468773,26.073022460937523,218.22048950195312,6.499385356903076,3.07403564453125,0.6617816458584749,3.0331662057371838,3.4525775382898796,12.711804199218745
Camarines Sur,2025,212.0712890625,27.265924072265648,28.767724609375023,25.764154052734398,217.73672485351562,6.608477592468262,3.003570556640625,0.6564343674380807,2.964908170284969,3.379406728393977,12.905310058593756
Albay,2025,210.00100708007812,27.207574462890648,28.736169433593773,25.678979492187523,218.47479248046875,6.892347812652588,3.05718994140625,0.6694442051287435,2.939545009067059,3.416565362807847,12.6100830078125
Sorsogon,2025,201.7574920654297,27.624169921875023,29.173699951171898,26.074609375000023,218.66061401367188,7.002997875213623,3.099090576171875,0.6905089388358934,3.0074888339865273,3.4746916954263956,12.535754394531251
Rizal,2025,238.5370635986328,25.947900390625023,27.547784423828148,24.348046875000023,218.96826171875,6.683614730834961,3.199737548828125,0.6160808413568969,2.735020300466313,3.4051570171621868,12.412695312499999
Bulacan,2025,218.92539978027344,27.061181640625023,28.651055908203148,25.471337890625023,218.61827087402344,6.780250072479248,3.179718017578125,0.6592193891325836,2.918938093834341,3.4753059673002644,12.552691650390624
Pampanga,2025,185.28924560546875,27.599664306640648,29.164849853515648,26.034478759765648,216.95741271972656,6.628486156463623,3.13037109375,0.6870966355280724,3.005612928047974,3.4631127041292364,13.217034912109371
Bataan,2025,197.90345764160156,26.451318359375023,28.017572021484398,24.885095214843773,216.64895629882812,6.206316947937012,3.132476806640625,0.6494662440483295,2.8027032141644987,3.371850615726633,13.340417480468748
Zambales,2025,223.76065063476562,24.507043457031273,26.044335937500023,22.969781494140648,214.92140197753906,6.179230213165283,3.074554443359375,0.5753108261605103,2.500633350596953,3.1682906369198047,14.031439208984375
Pangasinan,2025,211.51431274414062,27.860894775390648,29.462213134765648,26.259545898437523,214.0830841064453,6.528370380401611,3.202667236328125,0.6892870642393939,3.0601354169643997,3.476356102887822,14.366766357421879
La Union,2025,243.06494140625,26.769708251953148,28.324090576171898,25.215356445312523,213.30320739746094,6.90487813949585,3.108734130859375,0.6311889219581648,2.8862639219334936,3.3309686580464444,14.67871704101562
Ilocos Sur,2025,241.24322509765625,27.773553466796898,29.276544189453148,26.270532226562523,211.18637084960938,7.004370212554932,3.006011962890625,0.6452779149282917,3.085099042840422,3.3160090766768837,15.525451660156254
Ilocos Norte,2025,195.54067993164062,25.849053955078148,27.367547607421898,24.330560302734398,210.77438354492188,6.736652374267578,3.0369873046875,0.5720927003821646,2.7594694247211824,3.186073055620697,15.690246582031254
Isabela,2025,210.12728881835938,25.903100585937523,27.531396484375023,24.274804687500023,213.93650817871094,6.590986728668213,3.256591796875,0.5888046856470986,2.7534285201970827,3.3528984004831925,14.425396728515627
Occidental Mindoro,2025,196.46607971191406,27.745996093750023,29.185479736328148,26.306542968750023,216.66439819335938,6.418154239654541,2.878936767578125,0.7110878869939062,3.013297455019136,3.327326363307842,13.334240722656254
Oriental Mindoro,2025,196.5726318359375,26.110925292968773,27.556573486328148,24.665277099609398,218.5567626953125,6.951133728027344,2.89129638671875,0.6382057089214931,2.7453388599414112,3.2428340395954183,12.577294921875005
Marinduque,2025,216.95130920410156,26.215203857421898,27.723931884765648,24.706475830078148,219.67967224121094,7.5470051765441895,3.0174560546875,0.6226781146964202,2.7817620687363647,3.337756459135764,12.128131103515628
Romblon,2025,211.67620849609375,26.889672851562523,28.366174316406273,25.413140869140648,220.39608764648438,7.4637064933776855,2.953033447265625,0.6606631695693755,2.881664966862256,3.363464264380731,11.841564941406247
Masbate,2025,194.54869079589844,27.287377929687523,28.848352050781273,25.726373291015648,220.85418701171875,7.525207996368408,3.121978759765625,0.675835328332117,2.950058502548109,3.4963682447569044,11.658325195312502
Catanduanes,2025,214.27560424804688,26.118585205078148,27.601953125000023,24.635247802734398,216.05218505859375,6.329369068145752,2.966705322265625,0.6162690998304357,2.7688065699284836,3.247773905311787,13.579125976562501
Batanes,2025,122.545654296875,26.575372314453148,26.889428710937523,26.261315917968773,209.1957244873047,6.4272847175598145,0.62811279296875,0.5693093274816293,2.908169800408387,1.4620263907090498,16.321710205078123
Northern Samar,2025,211.42214965820312,27.047265625000023,28.671868896484398,25.422692871093773,217.4265899658203,7.315353870391846,3.249176025390625,0.6671183801506411,2.9081202329689333,3.4928249611520155,13.029364013671874
Eastern Samar,2025,204.9918670654297,27.315515136718773,29.150201416015648,25.480798339843773,216.64639282226562,6.51065731048584,3.669403076171875,0.6294073809510023,3.0024631216659903,3.72063161319226,13.341442871093745
Samar,2025,200.46083068847656,27.220147705078148,28.844720458984398,25.595605468750023,218.13356018066406,7.363417148590088,3.249114990234375,0.6451880508636201,2.966459965341347,3.5176572638107504,12.746575927734371
Biliran,2025,203.25218200683594,25.947991943359398,27.530358886718773,24.365625000000023,220.6005401611328,7.3181986808776855,3.16473388671875,0.5885380234469504,2.762581261836773,3.4117317109931933,11.759783935546874
Leyte,2025,174.0010528564453,27.321160888671898,29.122918701171898,25.519372558593773,220.93081665039062,6.826140403747559,3.603546142578125,0.5836168725966955,3.049453886618465,3.7604791483315023,11.627673339843748
Southern Leyte,2025,196.40406799316406,26.604760742187523,29.225549316406273,23.983941650390648,220.4522247314453,5.787890434265137,5.241607666015625,0.49916388993704436,2.9843347388867105,4.45366815359639,11.81911010742187
Palawan,2025,147.6081085205078,27.790307617187523,29.010003662109398,26.570611572265648,219.93421936035156,5.612583637237549,2.43939208984375,0.7802252875087374,2.9537985139930862,3.1120582175098286,12.026312255859374
