province,year,pre,tmp,tmx,tmn,srad,ws,dtr,vpd,vap,pet,cld
Bukidnon,2025,173.01622009277344,24.537164306640648,29.718652343750023,19.355706787109398,227.32955932617188,2.170198917388916,10.362945556640625,0.37429528711548027,2.707192774559983,6.156882464563302,9.068176269531246
Apayao,2025,167.40553283691406,23.862237548828148,25.495111083984398,22.229333496093773,207.44024658203125,6.356103420257568,3.265777587890625,0.5247598144858725,2.434573087919208,3.103633932824078,17.0239013671875
Agusan del Sur,2025,146.80731201171875,28.431268310546898,33.65029296875002,23.212274169921898,225.44107055664062,1.659780502319336,10.438018798828125,0.5036255261762907,3.372266289445881,6.6914380566449445,9.823571777343753
Abra,2025,182.0008544921875,24.423516845703148,25.942224121093773,22.904809570312523,208.7773895263672,6.147667407989502,3.03741455078125,0.5363562223957988,2.5242599725336916,3.0530328655196475,16.48904418945313
Kalinga,2025,183.03131103515625,25.978845214843773,27.544976806640648,24.412713623046898,209.05055236816406,6.205467224121094,3.13226318359375,0.5816091960581178,2.775629313444237,3.2187431528644264,16.379779052734378
Mountain Province,2025,197.63612365722656,19.524591064453148,21.037164306640648,18.012017822265648,209.92001342773438,6.014235019683838,3.025146484375,0.4000237083459114,1.8703229323654398,2.708093698935598,16.031994628906254
Quirino,2025,206.7971649169922,24.715783691406273,26.333245849609398,23.098291015625023,210.3256072998047,5.9489359855651855,3.234954833984375,0.5485708830264012,2.5659723497077724,3.196082856719339,15.869757080078129
Ifugao,2025,198.41717529296875,21.918542480468773,23.427758789062523,20.409326171875023,210.6678009033203,5.910265922546387,3.0184326171875,0.46930872529602113,2.1615238692246446,2.888841976920828,15.732879638671871
Benguet,2025,197.22337341308594,21.288476562500023,22.721520996093773,19.855432128906273,213.20750427246094,5.619576454162598,2.8660888671875,0.4705296165060735,2.0608870192265973,2.803739341615015,14.716998291015626
Nueva Vizcaya,2025,197.6197052001953,23.913476562500023,25.445001220703148,22.381951904296898,212.09873962402344,5.745046615600586,3.06304931640625,0.5422910825696334,2.4261650215065695,3.0770393347180502,15.16050415039063
Nueva Ecija,2025,170.65872192382812,27.342980957031273,28.871545410156273,25.814416503906273,214.10498046875,5.788155555725098,3.05712890625,0.6922655895758415,2.9454472472431816,3.3582688248338566,14.358007812499995
Tarlac,2025,156.8627471923828,26.458856201171898,27.994165039062523,24.923516845703148,217.5115966796875,6.279013633728027,3.070648193359375,0.732008334221934,2.721694412703878,3.352271709085555,12.995361328125
Laguna,2025,170.19459533691406,26.525994873046898,28.113122558593773,24.938867187500023,217.23233032226562,5.427594184875488,3.17425537109375,0.6630949372994259,2.804290831727525,3.409144918906243,13.107067871093747
Cavite,2025,139.12852478027344,28.204980468750023,29.789239501953148,26.620690917968773,216.96847534179688,5.563172340393066,3.168548583984375,0.7605544657396279,3.0647250004426403,3.5308010871972937,13.212609863281255
Batangas,2025,159.28732299804688,27.198388671875023,28.717736816406273,25.679040527343773,217.98294067382812,5.325798988342285,3.0386962890625,0.7120817982077134,2.894966019499087,3.397853858160755,12.806823730468754
Quezon,2025,200.07144165039062,27.836419677734398,29.449060058593773,26.223779296875023,215.69801330566406,5.487823963165283,3.22528076171875,0.6810336931167321,3.063043264433202,3.5130396530960946,13.720794677734371
Camarines Norte,2025,222.5040740966797,27.683221435546898,29.246514892578148,26.119927978515648,214.38189697265625,5.4540114402771,3.1265869140625,0.663525124166709,3.0472428159853435,3.42622719394006,14.2472412109375
Camarines Sur,2025,209.1693115234375,27.360650634765648,28.909906005859398,25.811364746093773,215.3582000732422,5.514084815979004,3.098541259765625,0.6757383428793127,2.9657373870728083,3.4020588607593276,13.856719970703125
Albay,2025,196.90823364257812,27.255242919921898,28.831628417968773,25.678857421875023,217.9158935546875,5.657802104949951,3.15277099609375,0.6935053020640707,2.925573155936574,3.46435216838056,12.833642578125005
Sorsogon,2025,185.0385284423828,27.682611083984398,29.292626953125023,26.072595214843773,218.3282012939453,5.70761251449585,3.22003173828125,0.7186978738783815,2.9919378787563424,3.5410077753643363,12.668719482421874
Rizal,2025,192.51272583007812,25.964074707031273,27.533685302734398,24.394433593750023,215.87525939941406,5.53008508682251,3.139251708984375,0.6357139080293689,2.718593907251085,3.32640612237703,13.649896240234371
Bulacan,2025,170.8162841796875,27.162042236328148,28.709802246093773,25.614282226562523,215.92669677734375,5.73535680770874,3.09552001953125,0.7016806792660857,2.8976943167817293,3.3943823246517155,13.629321289062501
Pampanga,2025,142.65943908691406,28.020135498046898,29.581903076171898,26.458367919921898,217.04457092285156,6.28250789642334,3.12353515625,0.7926365217913933,2.9917277165469462,3.492770689322103,13.182171630859374
Bataan,2025,151.35423278808594,26.862725830078148,28.445581054687523,25.279840087890648,217.6371612548828,5.931552410125732,3.165740966796875,0.7436398561657094,2.7930873689978957,3.436825993595746,12.945135498046877
Zambales,2025,175.27806091308594,24.866723632812523,26.389733886718773,23.343743896484398,216.09100341796875,6.095500469207764,3.045989990234375,0.6577557518744813,2.484960961167121,3.197656399675368,13.563598632812502
Pangasinan,2025,163.1414794921875,27.686151123046898,29.144128417968773,26.228173828125023,214.9346160888672,5.59848690032959,2.91595458984375,0.7231483940134027,2.988254103296555,3.317550272308774,14.026153564453125
La Union,2025,177.7489471435547,26.462304687500023,27.863153076171898,25.061456298828148,214.0082550048828,5.535006523132324,2.80169677734375,0.6520238396117989,2.802380569178235,3.15076993712917,14.39669799804687
Ilocos Sur,2025,187.5802459716797,27.555749511718773,28.999597167968773,26.111932373046898,209.47808837890625,5.972346782684326,2.887664794921875,0.6539560536706145,3.029293352118004,3.2083808667362566,16.2087646484375
Ilocos Norte,2025,187.858154296875,25.804742431640648,27.341394042968773,24.268060302734398,207.1209716796875,6.298753261566162,3.073333740234375,0.5867664482957932,2.736068882087196,3.146329779174617,17.151611328125004
Isabela,2025,192.55325317382812,25.875360107421898,27.427667236328148,24.323083496093773,208.38143920898438,6.060415267944336,3.104583740234375,0.5571446214705952,2.7796077306894946,3.1866825005850328,16.647424316406244
Occidental Mindoro,2025,142.68251037597656,27.914239501953148,29.333245849609398,26.495233154296898,220.28564453125,5.316042423248291,2.8380126953125,0.7546956390516448,3.0064007120636185,3.371214924331719,11.885742187500004
Oriental Mindoro,2025,146.06483459472656,26.189569091796898,27.640557861328148,24.738580322265648,221.87689208984375,5.480258464813232,2.9019775390625,0.6690641276316365,2.7302288975714544,3.3040787024549694,11.249243164062495
Marinduque,2025,175.00660705566406,26.257714843750023,27.779992675781273,24.735467529296898,219.8451690673828,5.526602745056152,3.044525146484375,0.653075873583669,2.7599149843955226,3.3584605845293276,12.06193237304688
Romblon,2025,164.80859375,26.938531494140648,28.420281982421898,25.456811523437523,221.8519287109375,5.6502180099487305,2.963470458984375,0.6938650585318933,2.8586380039678563,3.395367700749001,11.259228515624997
Masbate,2025,165.13160705566406,27.326043701171898,28.927819824218773,25.724267578125023,220.55482482910156,5.7768402099609375,3.20355224609375,0.710966953887399,2.923142143641442,3.5399840605126895,11.77807006835937
Catanduanes,2025,214.87179565429688,26.271081542968773,27.777307128906273,24.764855957031273,214.97433471679688,5.530971050262451,3.012451171875,0.6312199529619217,2.784463351821465,3.267697973946413,14.010266113281244
Batanes,2025,151.84454345703125,26.685449218750023,26.994653320312523,26.376245117187523,198.22799682617188,6.838059902191162,0.618408203125,0.5451935805721164,2.954878811110364,1.3780411050212904,20.70880126953125
Northern Samar,2025,179.33261108398438,27.460046386718773,29.089532470703148,25.830529785156273,219.30043029785156,6.048349857330322,3.259002685546875,0.7660181163607606,2.896687928155519,3.5607248560647053,12.279827880859372
Eastern Samar,2025,163.85304260253906,27.701196289062523,29.503594970703148,25.898797607421898,219.57315063476562,5.192876815795898,3.60479736328125,0.6982269011454532,3.0164358002161116,3.769502671467054,12.170739746093751
Samar,2025,158.45965576171875,28.037011718750023,29.649926757812523,26.424127197265648,221.96144104003906,6.356418609619141,3.225799560546875,0.852819439252146,2.9352644613181726,3.6312328622675962,11.215423583984375
Biliran,2025,162.5903778076172,26.434136962890648,28.039178466796898,24.829095458984398,222.48013305664062,5.89760684967041,3.2100830078125,0.7142282945816383,2.734448475031231,3.5038741880931648,11.007946777343747
Leyte,2025,137.2317352294922,27.664605712890648,29.527459716796898,25.801782226562523,222.34600830078125,5.211073875427246,3.725677490234375,0.6672187905140889,3.0395192743692085,3.877456851171652,11.061596679687502
Southern Leyte,2025,159.0968475341797,26.834649658203148,29.471978759765648,24.197351074218773,222.16770935058594,4.316176891326904,5.274627685546875,0.5337576618722394,2.9971421665768734,4.5257499059841235,11.132916259765624
Palawan,2025,130.70338439941406,28.020745849609398,29.329370117187523,26.712091064453148,223.25624084472656,5.321503639221191,2.617279052734375,0.8245048659173537,2.959993843646311,3.288761314355699,10.697503662109376
Aklan,2025,138.53598022460938,26.988153076171898,28.402947998046898,25.573358154296898,224.07052612304688,5.586641788482666,2.82958984375,0.7097203256418572,2.8531425943074753,3.3546808554226795,10.371789550781251
Antique,2025,84.38504028320312,27.959313964843773,28.271539306640648,27.647119140625023,224.60028076171875,5.589389801025391,0.624420166015625,0.7613087428519588,3.009676278951038,1.613874792519706,10.159887695312497
Iloilo,2025,136.58592224121094,27.406793212890648,28.857995605468773,25.955621337890648,224.20852661132812,5.427968502044678,2.902374267578125,0.7019413409007075,2.9493767921573166,3.431421844914688,10.316589355468754
