Crop,Geolocation,2010 Annual,2011 Annual,2012 Annual,2013 Annual,2014 Annual,2015 Annual,2016 Annual,2017 Annual,2018 Annual,2019 Annual,2020 Annual,2021 Annual,2022 Annual,2023 Annual,2024 Annual
Banana,PHILIPPINES,20.25027293,20.36111445,20.31157305,19.38582711,20.06739,20.48837511,20.10471836,20.5171772,20.8953031,20.39434888,20.07224526,20.18406289,20.35089514,20.09219027,19.30181462
Banana,..CORDILLERA ADMINISTRATIVE REGION (CAR),5.301305246,5.156770148,5.089241687,5.281536221,5.474147206,5.463452841,5.350167294,7.206204224,7.042623925,6.619607983,7.240545116,7.355898637,7.636207458,6.978821228,6.143099028
Banana,....Abra,9.007060185,8.816423611,8.894722222,8.793972286,8.173951333,8.584704519,7.577126304,7.688207547,7.250459906,7.095141509,7.039150943,6.870919811,6.86192217,4.967265695,4.272319195
Banana,....Apayao,2.907310469,2.763050043,2.692496847,3.67459712,3.893606987,3.768214377,3.96520979,10.18116525,9.486915565,8.326661491,10.57362354,10.80707831,10.89429833,9.621908569,7.770358529
Banana,....Benguet,7.360738255,7.222,7.132836879,7.232978723,7.323297872,6.947042254,6.550353357,6.76541502,6.121422925,6.501417004,6.381376518,6.498097166,7.308461538,7.055384615,3.458410531
Banana,....Ifugao,7.863368545,8.061291513,8.007736777,6.671672817,7.541689751,7.620775623,7.587966805,7.736957746,7.171935028,7.15004158,6.532952183,6.64566572,7.230750386,7.785349775,7.373094294
Banana,....Kalinga,4.336531365,4.403579336,4.057094595,4.263245033,3.917767296,3.861337386,3.397416413,1.823431953,4.228832335,2.344138973,4.058249258,4.515727003,5.301928783,5.507895204,5.782193732
Banana,....Mountain Province,4.034985337,3.957175325,4.318791946,4.377728707,4.758255452,4.935545171,5.11972973,5.388897959,5.41662963,5.390784314,5.822867925,6.030867925,6.101675767,6.496359499,12.36274875
Banana,..REGION I (ILOCOS REGION),5.413000571,5.410714712,5.607477658,5.709628746,5.762986642,5.687503459,5.544924299,5.68956475,5.667774747,5.577638946,5.837772193,5.934925832,6.235897841,6.014076673,5.909597909
Banana,....Ilocos Norte,5.106038498,5.432631899,5.673116161,5.876343195,5.985275186,6.023958853,6.094729704,6.255809988,6.391753959,6.513213728,6.753720344,6.810945865,7.328144529,6.890090058,6.750965114
Banana,....Ilocos Sur,6.159819035,6.470918656,6.790436868,7.034850607,6.905981761,6.701337705,6.509733733,6.4336282,6.29892649,6.110799627,6.391334223,6.587947173,7.154917028,6.920932702,7.540194814
Banana,....La Union,6.23275823,6.23226151,6.284879176,6.261392667,6.347448099,6.491521586,6.167528189,6.81102044,6.896881154,6.478532672,6.797653117,6.837092579,6.985212376,7.055288315,6.400505309
Banana,....Pangasinan,4.958134075,4.631159555,4.803940134,4.824239462,4.918755732,4.770208015,4.568458373,4.627493647,4.536363636,4.571094132,4.814197984,4.882350401,5.011834466,4.772202539,4.62923773
Banana,..REGION II (CAGAYAN VALLEY),15.56273435,11.37936353,12.81552116,14.15698874,14.58457824,14.88511505,13.63482224,12.08477567,13.60411511,11.24179009,12.7370389,12.72487861,12.92482596,12.91648963,12.16862874
Banana,....Batanes,#DIV/0!,#DIV/0!,9.306465257,8.071661631,5.228761329,3.616449086,2.91430575,1.639565217,1.256060606,1.226969697,1.268684211,0.906829268,0.58401122,0.979310345,1.305172414
Banana,....Cagayan,12.37176642,10.85150574,13.3109635,16.57658775,14.78349784,15.71472664,15.99196067,9.188951187,14.77557168,12.94972133,14.93600803,14.47321103,13.74142509,14.27745085,13.98593054
Banana,....Isabela,19.24539129,12.72267047,19.18137522,17.9390196,18.1740254,18.07249,16.66918804,15.24042771,16.34726762,13.52812022,15.18075501,15.17791396,15.31158479,15.45558741,15.01831523
Banana,....Nueva Vizcaya,16.03457037,15.05560488,13.87286237,13.11186575,12.92734672,12.31381175,13.35708913,12.93678001,13.13135497,13.25078571,13.11019202,13.51184237,14.89048312,15.32047746,13.89839834
Banana,....Quirino,12.53282341,8.919935736,3.171696004,6.769942721,9.0733962,9.897541213,7.166961442,8.575937543,8.573676756,6.181567364,7.584933786,7.752572899,8.289746558,7.970335281,6.766091243
Banana,..REGION III (CENTRAL LUZON),9.248038125,9.153499123,9.204621164,9.460043353,9.458297667,9.509967453,7.75633031,7.658184099,7.800037151,8.367884165,8.32588624,7.90769959,8.383054302,7.961563821,7.160389719
Banana,....Aurora,6.268126521,6.01579562,6.071093372,7.072643512,7.199482596,6.824126534,2.816875556,1.944811361,2.115358238,2.492534522,2.721605482,1.594896037,1.995422215,1.80134279,1.698568729
Banana,....Bataan,5.556046512,5.397142857,5.443362832,5.373732719,5.444651163,6.202358491,6.034449761,6.562248804,5.149604445,5.32105858,5.333490299,5.592608187,6.003889592,5.93802456,5.556939659
Banana,....Bulacan,13.21942378,13.31353756,13.50274781,13.56523495,14.38605004,15.80628125,14.02524929,14.31430404,14.36564968,13.1571526,11.78765867,11.28201258,11.62030656,11.38845988,10.37353445
Banana,....Nueva Ecija,11.30056575,11.24608563,11.36412844,11.23891437,11.19200306,11.01717125,11.1318238,11.59993818,11.7694745,12.61553323,11.80468315,11.57141753,11.19999072,10.58581703,9.582012219
Banana,....Pampanga,5.329268293,5.111561866,5.028397566,4.900608519,4.795131846,4.819472617,5.08693712,5.44535497,5.520953347,5.762148493,5.883673882,6.309751163,6.726372122,6.724764521,6.135893727
Banana,....Tarlac,5.569333333,5.643390805,5.620206897,5.669149425,4.878360465,4.548329412,4.443564356,5.340290698,5.998093023,6.403642691,6.792563805,6.530452436,6.942563805,6.943109049,6.847238979
Banana,....Zambales,18.35331092,18.28647863,18.25517422,17.73738819,17.2490146,16.71189591,16.36021028,16.85081205,16.85860952,18.14785887,20.30513826,21.39030145,23.6327329,20.55077775,16.88443169
Banana,..REGION IV-A (CALABARZON),3.568140444,3.823789871,3.8920794,3.948346901,3.63811027,3.518046393,4.123858646,4.219299063,4.257214808,4.045431186,3.621520235,3.312183956,3.59616132,3.454774789,3.128715029
Banana,....Batangas,4.488957327,4.510319623,5.130598405,5.05619012,5.424327855,5.776705001,7.093894086,7.46708744,7.824040148,7.399600362,6.26024774,5.261491393,5.438661031,5.27072689,5.124554043
Banana,....Cavite,6.39372129,6.530590968,6.523094688,6.657928394,5.82075947,5.126078117,6.285718867,6.611007213,5.994409091,5.428491979,4.732906417,4.972374857,5.395561544,5.26911628,3.440985402
Banana,....Laguna,2.311221374,2.649923664,2.75786825,2.83945434,2.388937067,1.933171689,2.171316698,2.190142656,2.194422593,2.191225259,2.159784794,1.702446959,2.038228087,1.960430412,1.722779086
Banana,....Quezon,3.056553145,3.518718172,3.316927073,3.416622932,2.990796044,2.88927308,3.134689705,3.072152489,3.197305615,3.085893203,2.889814532,2.792669928,3.053626822,2.892568675,2.924989714
Banana,....Rizal,1.509975514,1.596998041,1.604226249,1.68950049,1.638863859,1.95677937,2.300879479,2.491276873,2.503639425,2.441508394,2.155964253,2.284009547,2.602083041,2.597695209,2.441116078
Banana,..MIMAROPA REGION,7.897835201,8.364810213,7.400775258,7.1329627,6.858709865,7.414747104,4.314997129,4.076937483,4.544372459,4.718236595,2.736400914,2.968095754,3.657699361,3.572926242,4.228403675
Banana,....Marinduque,1.783419913,1.794170213,1.789808511,1.737602592,1.583030303,1.526450216,1.395102481,1.328090131,1.380306867,1.366977879,1.219274271,1.178443695,1.273421338,1.298522247,1.820826021
Banana,....Occidental Mindoro,4.819521674,4.991365639,4.950555556,4.804442971,4.574636364,4.564386617,4.461326034,4.593360656,4.802635934,4.820607867,3.973393939,4.351340546,4.975101774,4.717589182,4.365218098
Banana,....Oriental Mindoro,9.721979076,10.30870647,8.8683444,8.860922623,8.27262155,9.044852832,4.080701366,3.560658469,4.27503539,4.596796741,1.471287342,1.937435584,2.877182957,2.908216511,3.963875689
Banana,....Palawan,3.776862278,4.07749134,4.293182301,4.600651228,4.997354065,5.286980121,5.256934117,5.527587442,5.590603288,5.55963707,5.683275891,5.382673779,7.562134348,6.222143444,5.66309322
Banana,....Romblon,4.301696787,4.344428601,4.475468082,4.420361439,4.032497062,4.089478472,3.748667336,3.808770902,3.877966102,3.65845442,2.447106662,2.589176115,2.743292214,2.694341899,3.797269443
Banana,..REGION V (BICOL REGION),4.141118489,4.204203014,4.326828231,4.427995113,4.02281935,4.180430337,4.204256169,3.962322549,4.228122152,4.061911655,3.383747063,3.074296373,3.366618295,2.880275113,2.602927387
Banana,....Albay,13.14246122,13.48519313,14.48145923,15.79227468,14.87625964,18.7557429,20.4832049,19.43676007,20.17573129,19.99052721,16.95872449,16.84782313,20.23227891,10.84615294,2.396795945
Banana,....Camarines Norte,1.802873821,1.815818956,1.844666667,1.876365653,1.739478589,1.793867318,1.956076481,2.206434294,2.480810694,2.420070397,1.848912235,2.234525281,1.80571169,0.89570172,1.442479611
Banana,....Camarines Sur,3.730264596,3.72241564,3.730894483,3.787154794,3.592264596,3.640715512,3.705100837,3.151451405,3.420080455,3.236552242,2.699935636,1.920764939,2.564904955,2.423722777,2.281577644
